track_id,artist_names,track_name,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,time_signature
1aL9518P5G72N92b48tuKw,AP Dhillon,Summer High,Pakistan,0.86,0.541,1,-6.51,0,0.0325,0.165,0.163,0.0663,0.952,114.984,2.96,4
4VsP4Dm8gsibRxB5I2hEkw,Kaifi Khalil,Kahani Suno 2.0,Pakistan,0.577,0.379,11,-13.235,1,0.0374,0.909,0.000586,0.0986,0.26,139.585,2.89,3
08Isz2ETWSBhvIl8UpKYsp,Shubh,No Love,Pakistan,0.768,0.487,4,-8.936,0,0.0431,0.24,0.0,0.175,0.722,137.034,2.84,4
6qrifdo7QINdPQr80IelGi,"Rovalio, Abdul Hannan",Iraaday,Pakistan,0.737,0.458,6,-5.805,1,0.0317,0.601,6.98e-06,0.138,0.456,89.993,2.22,4
42TMa2hgBNjte4uV7jNCnQ,"Shubh, Ikky",Baller,Pakistan,0.711,0.702,5,-10.048,1,0.233,0.00487,0.0163,0.0932,0.674,180.219,2.47,4
4UMIv5jd9gK98a39BQRD9X,"Pritam, Arijit Singh, Amitabh Bhattacharya",Kesariya,Pakistan,0.577,0.574,0,-6.525,1,0.0278,0.572,0.0,0.1,0.436,94.009,4.47,4
0OdztoASgKBBNcAgtErk0X,"Abdul Hannan, Rovalio",Bikhra,Pakistan,0.462,0.371,6,-11.604,0,0.0988,0.794,0.118,0.124,0.187,99.662,2.81,4
2uThc9fZx2BEL3t6uuRMO1,"aleemrk, Umair",Cold Hours,Pakistan,0.737,0.613,1,-7.304,0,0.358,0.316,1.26e-06,0.343,0.493,170.14,3.44,4
0WtM2NBVQNNJLh6scP13H8,"Rema, Selena Gomez",Calm Down (with Selena Gomez),Pakistan,0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,3.99,4
7lvDsmTRXFE3dK4OjvRiWB,"Shae Gill, Ali Sethi",Pasoori,Pakistan,0.714,0.596,11,-6.206,0,0.043,0.0657,0.0,0.0625,0.669,91.991,3.74,4
1d5lpW3gUyq537iuyrb9Lf,Aditya Rikhari,Samjho Na,Pakistan,0.744,0.328,0,-12.535,1,0.231,0.681,0.0002,0.128,0.532,98.923,2.87,4
29m79w9xPMH4YCD6r8JSmV,"AP Dhillon, Gurinder Gill, Intense",Excuses,Pakistan,0.837,0.717,5,-7.749,0,0.0822,0.0842,0.0,0.149,0.494,94.984,2.94,4
6ZYxNjuAU9Vy3VtF6W1dtE,Shubh,We Rollin,Pakistan,0.82,0.504,4,-9.113,0,0.141,0.261,7e-06,0.104,0.275,85.016,3.32,4
6PSGzXHJaQogb2G8m8gGZZ,"Yashraj, Dropped Out, Talwiinder",Dhundhala,Pakistan,0.648,0.45,5,-9.57,0,0.167,0.134,7.31e-05,0.137,0.472,99.932,3.04,4
7e6mcPDj3sEZ5TQkZjn6Fy,Asim Azhar,Habibi,Pakistan,0.716,0.613,7,-7.421,1,0.272,0.627,0.000207,0.0981,0.56,99.955,3.13,4
0yCWDaAgOtg6TKlNCg9rwA,King,Tu Aake Dekhle,Pakistan,0.77,0.84,11,-4.022,1,0.107,0.515,0.00452,0.145,0.192,96.012,4.5,4
5W7DOVGQLTigu09afW7QMT,Sidhu Moose Wala,295,Pakistan,0.557,0.794,11,-5.698,0,0.2,0.179,0.0,0.106,0.432,91.366,4.5,4
3nlAERKIpn3ffgGwYQs0EB,Mitraz,Akhiyaan,Pakistan,0.737,0.634,2,-9.573,1,0.0535,0.0645,0.745,0.0886,0.0574,100.01,3.2,4
5IgjP7X4th6nMNDh4akUHb,Chris Brown,Under The Influence,Pakistan,0.733,0.69,9,-5.529,0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,3.08,4
