track_id,artist_names,track_name,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,time_signature
45dlaEXrXW47TVbrQ4gK7E,"Rei, Callejero Fino",Tu Turrito,Paraguay,0.838,0.545,9,-6.1,0,0.0604,0.0966,0.0,0.0927,0.428,90.023,2.75,4
5ww2BF9slyYgNOk37BlC4u,Manuel Turizo,La Bachata,Paraguay,0.835,0.679,7,-5.329,0,0.0364,0.583,1.98e-06,0.218,0.85,124.98,2.71,4
2tTmW7RDtMQtBk7m2rYeSw,"Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52",Paraguay,0.621,0.782,2,-5.548,1,0.044,0.0125,0.033,0.23,0.55,128.033,3.32,4
6Sq7ltF9Qa7SNFBsV5Cogx,"Bad Bunny, Chencho Corleone",Me Porto Bonito,Paraguay,0.911,0.712,1,-5.105,0,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,2.98,4
5Eax0qFko2dh7Rl2lYs3bx,Bad Bunny,Efecto,Paraguay,0.801,0.475,7,-8.797,0,0.0516,0.141,1.73e-05,0.0639,0.234,98.047,3.55,4
3k3NWokhRRkEPhCzPmV8TW,"Bad Bunny, Bomba Estéreo",Ojitos Lindos,Paraguay,0.647,0.686,3,-5.745,0,0.0413,0.08,1.34e-06,0.528,0.268,79.928,4.3,4
31i56LZnwE6uSu3exoHjtB,Bad Bunny,Neverita,Paraguay,0.876,0.498,10,-7.511,1,0.0478,0.0706,0.0,0.143,0.428,122.016,2.89,4
6i1g5ZRmJZAkDwBaUZ3f2i,Luar La L,Caile,Paraguay,0.704,0.756,0,-4.948,1,0.448,0.298,3.75e-06,0.0852,0.461,121.737,2.36,3
6Xom58OOXk2SoU711L2IXO,Bad Bunny,Moscow Mule,Paraguay,0.804,0.674,5,-5.453,0,0.0333,0.294,1.18e-06,0.115,0.292,99.968,4.1,4
1IHWl5LamUGEuP4ozKQSXZ,Bad Bunny,Tití Me Preguntó,Paraguay,0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,4.06,4
53tfEupEzQRtVFOeZvk7xq,ROSALÍA,DESPECHÁ,Paraguay,0.914,0.622,7,-6.538,1,0.0892,0.146,1.68e-05,0.0632,0.77,130.04,2.61,4
7dSZ6zGTQx66c2GF91xCrb,KAROL G,PROVENZA,Paraguay,0.87,0.516,1,-8.006,1,0.0541,0.656,0.00823,0.11,0.53,111.005,3.5,4
41oY4WCTj5kccfesTVFnvN,"Bad Bunny, Jhay Cortez",Tarot,Paraguay,0.795,0.684,11,-3.971,0,0.0419,0.0225,0.0,0.658,0.419,114.011,3.96,4
12BLBKATlbWXPhuSNL8eAr,"Alan Gomez, Callejero Fino",CALLEJERO FINO | Mission 10,Paraguay,0.88,0.531,6,-7.738,1,0.147,0.584,2.03e-06,0.114,0.522,92.957,2.82,4
