track_id,artist_names,track_name,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,time_signature
47sq83n5WN22ZzYnGn8aTy,"Adie, Janine Berdin",Mahika,Philippines,0.635,0.451,7,-7.406,1,0.0391,0.742,0.0,0.139,0.601,81.976,3.37,4
2e7iqtA42EPXTtiiAlblC1,Moira Dela Torre,Babalik Sa'yo - from 2 Good 2 Be True,Philippines,0.515,0.65,1,-7.798,0,0.093,0.168,0.0,0.33,0.695,157.866,3.83,4
7gRFDGEzF9UkBV233yv2dc,BLACKPINK,Shut Down,Philippines,0.818,0.69,0,-5.119,1,0.0454,0.00327,0.0,0.186,0.688,110.071,2.93,3
5zwwW9Oq7ubSxoCGyW1nbY,BLACKPINK,Pink Venom,Philippines,0.693,0.734,4,-6.189,1,0.202,0.0145,0.0,0.217,0.708,180.06,3.12,4
1gH1h30wkQdd9zhY3j7a8T,Rex Orange County,THE SHADE,Philippines,0.898,0.509,5,-7.973,1,0.062,0.391,0.0,0.0876,0.727,119.869,3.03,4
0mBP9X2gPCuapvpZ7TGDk3,"Charlie Puth, Jung Kook, BTS",Left and Right (Feat. Jung Kook of BTS),Philippines,0.881,0.592,2,-4.898,1,0.0324,0.619,1.32e-05,0.0901,0.719,101.058,2.57,4
1oYQtNQUxSODedcc5hPmp9,Ace Banzuelo,Muli,Philippines,0.482,0.881,11,-3.62,0,0.0533,0.0128,0.0,0.103,0.281,144.02,4.83,4
5IgjP7X4th6nMNDh4akUHb,Chris Brown,Under The Influence,Philippines,0.733,0.69,9,-5.529,0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,3.08,4
4tyEfRWLgYkWQaowoHXoba,Moira Dela Torre,Kumpas - Theme of “2 Good 2 Be True”,Philippines,0.545,0.269,5,-11.001,1,0.03,0.883,2.31e-05,0.0944,0.349,124.022,4.47,3
16iRlyUMJVPqz62DlomMre,NOBITA,Ikaw Lang,Philippines,0.513,0.38,11,-11.091,1,0.0336,0.12,0.0,0.0924,0.323,120.952,4.39,4
2m6Ko3CY1qXNNja8AlugNc,Troye Sivan,Angel Baby,Philippines,0.559,0.559,11,-6.425,1,0.0358,0.0145,0.0,0.138,0.338,72.498,3.68,4
2BDrpeAnTxCurLt38yDSrE,Lo ki,Kagome,Philippines,0.572,0.513,7,-6.481,0,0.0487,0.141,0.0,0.0891,0.207,105.006,3.97,4
6VhuP99TE6gYNQRJIlAWFD,Stephen Sanchez,Until I Found You,Philippines,0.346,0.5,10,-6.097,1,0.0388,0.757,0.0,0.189,0.191,202.466,2.94,3
0HAG6nIiEKd75yGpovuSJQ,Arthur Nery,Isa lang,Philippines,0.429,0.464,6,-8.445,0,0.0719,0.783,0.0,0.0846,0.375,121.17,4.49,3
2jbf9EytR7fzpSrPWAYCf9,Adie,Paraluman,Philippines,0.519,0.246,5,-13.85,1,0.0396,0.774,2.35e-06,0.0946,0.108,90.121,5.21,4
6xGruZOHLs39ZbVccQTuPZ,Joji,Glimpse of Us,Philippines,0.44,0.317,8,-9.258,1,0.0531,0.891,4.78e-06,0.141,0.268,169.914,3.89,3
3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),Philippines,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,2.62,4
4mc3rUoMwwiNTHA4al9nNd,Lola Amour,Fallen,Philippines,0.652,0.76,6,-4.098,0,0.0406,0.221,9.09e-05,0.147,0.615,98.079,3.36,4
0WZqHCoOBXqgCCIsUZLC2a,Arthur Nery,Pagsamo,Philippines,0.644,0.315,6,-9.382,1,0.0339,0.706,0.00162,0.0962,0.356,60.001,4.95,4
2yjlYDiNiQkdxVqTlaSrlX,Nicki Minaj,Super Freaky Girl,Philippines,0.951,0.878,2,-2.565,1,0.211,0.0509,1.61e-05,0.321,0.923,133.014,2.85,4
5CUQnKjA6nlteCnxMKsjIu,Adie,Tahanan,Philippines,0.394,0.366,3,-10.855,1,0.031,0.799,1.05e-06,0.315,0.3,109.862,4.9,4
4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Philippines,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,2.79,4
3OM6qQmdFV6uy61GIqpRtf,Rex Orange County,AMAZING,Philippines,0.719,0.461,8,-8.191,1,0.0454,0.279,0.0,0.0875,0.548,123.915,3.49,4
2oupN96VwNrbONyMtTWGjH,"Nik Makino, Flow G",MOON,Philippines,0.809,0.463,11,-12.8,0,0.154,0.569,0.0,0.0786,0.382,128.963,3.53,4
0a4MMyCrzT0En247IhqZbD,NewJeans,Hype Boy,Philippines,0.593,0.935,4,-3.43,0,0.225,0.268,0.0,0.286,0.783,99.976,2.98,4
08MFgEQeVLF37EyZ7jcwLc,Zack Tabudlo,Pano,Philippines,0.375,0.457,3,-7.018,1,0.0315,0.868,0.0145,0.191,0.415,174.839,4.24,3
0HYAsQwJIO6FLqpyTeD3l6,Fujii Kaze,Shinunoga E-Wa,Philippines,0.6,0.76,6,-6.123,0,0.0451,0.167,4.07e-05,0.189,0.519,158.075,3.09,4
7ArVzlFsFsQXNseVXmdOyk,Denise Julia,NVMD,Philippines,0.758,0.674,6,-4.533,1,0.108,0.0903,0.0,0.0902,0.424,97.977,3.02,4
2LBqCSwhJGcFQeTHMVGwy3,The Weeknd,Die For You,Philippines,0.586,0.525,1,-7.163,0,0.0615,0.111,0.0,0.134,0.508,133.629,4.34,4
3W4U7TEgILGpq0EmquurtH,"yuji, putri dahlia",Old Love,Philippines,0.478,0.367,11,-10.513,1,0.0283,0.716,0.0,0.124,0.359,141.95,4.16,3
6YjKd9oPXKqjLUVPo4Y0oi,Ben&Ben,The Ones We Once Loved,Philippines,0.427,0.301,0,-7.845,0,0.0308,0.673,0.0,0.232,0.163,117.241,4.56,3
0L8LOav65XwLjCLS11gNPD,BLACKPINK,Typa Girl,Philippines,0.915,0.621,7,-6.519,1,0.1,0.0745,0.0,0.628,0.527,131.984,2.99,4
4h4QlmocP3IuwYEj2j14p8,"Nicky Youre, dazy",Sunroof,Philippines,0.768,0.714,10,-5.11,1,0.0401,0.352,0.0,0.15,0.842,131.443,2.72,4
5d9Rka4T0szdC1MobhtXrV,Ben&Ben,Paninindigan Kita,Philippines,0.624,0.596,4,-9.288,1,0.0308,0.107,0.0,0.357,0.75,113.204,5.2,4
68HocO7fx9z0MgDU0ZPHro,NIKI,Every Summertime,Philippines,0.628,0.676,6,-4.227,1,0.0424,0.393,6.94e-05,0.0978,0.723,78.996,3.59,4
63bmIgH9sS6sX5Sc7MetGq,Zack Tabudlo,Habang Buhay,Philippines,0.62,0.668,9,-5.719,1,0.0305,0.088,0.0,0.362,0.183,118.013,4.07,4
6I3mqTwhRpn34SLVafSH7G,Justin Bieber,Ghost,Philippines,0.601,0.741,2,-5.569,1,0.0478,0.185,2.91e-05,0.415,0.441,153.96,2.55,4
0kqTXMHiQiB7IECD0WwcPq,TWICE,Talk that Talk,Philippines,0.774,0.905,3,-2.432,0,0.122,0.143,0.0,0.332,0.768,119.964,2.96,4
4IeuTj1pEHuL9vJSiEqEfR,mrld,Ligaya,Philippines,0.458,0.533,0,-5.249,1,0.0381,0.447,0.0,0.114,0.343,149.832,4.15,4
5NvOZCjZaGGGL597exlQWv,Ricky Montgomery,Line Without a Hook,Philippines,0.432,0.652,8,-4.969,1,0.0285,0.262,0.0,0.258,0.507,190.028,4.16,3
7gfrASeOt73YWvpIv1fU8E,Arthur Nery,Higa,Philippines,0.656,0.336,9,-10.538,1,0.0434,0.453,0.0,0.106,0.182,125.058,4.1,4
5MYPzdIWgx3pMLRGlq2fVq,Zack Tabudlo,Asan Ka Na Ba,Philippines,0.676,0.768,5,-5.695,0,0.0294,0.149,0.00147,0.345,0.493,105.999,4.02,4
27kaeLB6wRVvsaORS8O96F,"Al James, Muric",Mood,Philippines,0.795,0.514,3,-9.84,0,0.138,0.522,0.0111,0.129,0.522,120.099,3.83,4
011GTFfE8rqTRMhz5g8IAW,"Al James, Rjay Ty, Lexus",Repeat,Philippines,0.844,0.314,9,-13.434,0,0.346,0.434,0.00077,0.0787,0.571,120.039,3.83,4
76OGwb5RA9h4FxQPT33ekc,Rosa Linn,SNAP,Philippines,0.565,0.636,0,-8.198,1,0.0638,0.107,9.9e-06,0.447,0.525,170.01,2.99,4
2gYj9lubBorOPIVWsTXugG,IVE,After LIKE,Philippines,0.68,0.922,0,-1.215,1,0.121,0.103,0.0,0.0877,0.799,125.014,2.95,4
4iRRAvxPPWXQp3mV1rAbPF,NOBITA,Unang Sayaw,Philippines,0.5,0.397,9,-11.653,1,0.0557,0.412,0.0,0.126,0.375,180.045,4.63,3
0QzuaeCEEOV40Pn7IvKEny,dhruv,double take,Philippines,0.656,0.436,8,-11.141,1,0.0744,0.845,0.0,0.221,0.196,109.239,2.86,4
0bYVPJvXr8ACmw313cVvhB,BLACKPINK,Tally,Philippines,0.688,0.637,2,-4.85,1,0.031,0.00777,0.0,0.13,0.427,129.902,3.07,4
1Fid2jjqsHViMX6xNH70hE,Seafret,Atlantis,Philippines,0.4,0.479,8,-7.989,0,0.0308,0.0529,2.14e-06,0.115,0.213,166.159,3.82,4
769Ld8demNhMgVLAQcjTDn,anees,sun and moon,Philippines,0.815,0.442,6,-7.462,0,0.107,0.457,0.0,0.101,0.706,90.019,2.53,4
3PgjBOoA5OytNGkglObpOd,Ben&Ben,Sa Susunod na Habang Buhay,Philippines,0.311,0.342,2,-8.889,1,0.032,0.432,1.93e-06,0.114,0.274,177.158,4.8,4
7C9Knp9FzLY6RwgktmW9Ge,"Because, Leslie",BMW,Philippines,0.758,0.39,1,-9.799,1,0.0485,0.567,0.0,0.099,0.238,117.048,2.8,4
3Eb5sztvEMa0Mqnb8DUAlU,IV Of Spades,Come Inside Of My Heart,Philippines,0.676,0.565,10,-9.411,1,0.03,0.00321,0.000579,0.241,0.689,113.007,4.11,4
1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Philippines,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,2.97,4
3hUxzQpSfdDqwM3ZTFQY0K,Taylor Swift,august,Philippines,0.532,0.623,5,-9.208,1,0.0331,0.538,7.28e-05,0.0925,0.403,89.937,4.37,4
3afkJSKX0EAMsJXTZnDXXJ,Troye Sivan,Strawberries & Cigarettes,Philippines,0.578,0.537,9,-8.676,1,0.0832,0.162,0.0,0.076,0.25,83.909,3.36,4
3sqrvkNC6IPTIXvvbx9Arw,Taylor Swift,Enchanted,Philippines,0.535,0.618,8,-3.913,1,0.0273,0.0716,0.000388,0.169,0.228,81.975,5.87,4
3MJhPqL2IgGs7gHEB2M35q,BLACKPINK,Hard to Love,Philippines,0.654,0.768,5,-5.007,1,0.0431,0.00616,0.0,0.202,0.505,104.97,2.71,4
5enxwA8aAbwZbf5qCHORXi,Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Philippines,0.631,0.518,0,-8.771,1,0.0303,0.274,0.0,0.088,0.205,93.023,10.22,4
7AdGloF1UHKe1vAZPbqIXH,BLACKPINK,The Happiest Girl,Philippines,0.382,0.37,0,-8.475,1,0.0785,0.605,0.0,0.102,0.556,181.459,3.7,3
2eAvDnpXP5W0cVtiI0PUxV,Ruth B.,Dandelions,Philippines,0.609,0.692,1,-2.958,1,0.0259,0.0157,0.0,0.0864,0.454,116.959,3.9,3
4k6Uh1HXdhtusDW5y8Gbvy,Steve Lacy,Bad Habit,Philippines,0.686,0.494,1,-7.093,1,0.0355,0.613,5.8e-05,0.402,0.7,168.946,3.87,4
5TTXEcfsYLh6fTarLaevTi,NIKI,lowkey,Philippines,0.752,0.494,0,-8.18,1,0.0559,0.432,0.0,0.0869,0.227,117.901,2.86,4
3WUEs51GpcvlgU7lehLgLh,Ben&Ben,Kathang Isip,Philippines,0.491,0.314,10,-8.58,1,0.0301,0.776,4.76e-06,0.152,0.295,126.921,5.31,4
