track_id,artist_names,track_name,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,time_signature
4nv5o5Xo4ySBaIVnXr75Xs,"Malik Montana, Żabson",Do Tanca,Poland,0.749,0.601,8,-5.844,0,0.244,0.128,1.61e-05,0.173,0.706,111.986,2.57,4
1t33hewgrIxkdnzOgscAN8,"Miszel, Kabe",Sheraton,Poland,0.583,0.835,1,-6.362,0,0.179,0.457,0.0,0.328,0.686,150.031,2.75,4
4lPAZiTJbaQ4irMzcq0GOU,Mata,JESTEM POJ384NY,Poland,0.681,0.872,8,-4.682,1,0.0425,0.103,0.0,0.353,0.756,140.041,2.98,4
3f9Ugg030LDe0p6ospTORC,"Gibbs, Kiełas, Dopehouse",Piękny Świat,Poland,0.509,0.765,4,-9.142,0,0.0763,0.0703,0.000504,0.164,0.274,90.356,3.89,4
3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),Poland,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,2.62,4
23GIMk2WNqdSxe93u3eOmm,"2115, Bedoes, BLACHA, White 2115, Kuqe 2115",KETCHUP,Poland,0.757,0.597,5,-8.074,1,0.177,0.286,0.0,0.102,0.865,140.032,3.14,4
5NbxvSCL1xLqqWLqG6LjwE,Chivas,koleżanko mojej byłej,Poland,0.648,0.816,11,-5.392,1,0.285,0.354,0.0,0.813,0.856,164.902,2.54,4
1J3rvvPqfplUP3w1y9y8In,Chivas,kupić jej gaz czy torebkę?,Poland,0.641,0.746,5,-8.065,0,0.227,0.358,0.0,0.0745,0.793,159.89,2.46,4
6wkV4uyxWrfNim5QmLmQnp,Young Igi,Małe Krople,Poland,0.759,0.597,1,-7.153,1,0.208,0.107,0.0,0.0976,0.604,164.89,2.74,4
2qqiGxy47FbviXuPW7crUH,Chivas,anyżowe żelki,Poland,0.738,0.783,2,-5.931,1,0.228,0.34,0.0,0.0658,0.719,150.009,2.22,4
5YvL3ytkusKcM5ozxD9fKN,White 2115,RiRi,Poland,0.821,0.522,2,-8.308,1,0.059,0.28,0.0,0.102,0.523,135.079,2.52,4
1SDoIIjDCFjJuglM7qbIqf,"Oki, Nolyrics Beats",Jakie To Uczucie?,Poland,0.819,0.633,0,-6.619,1,0.164,0.0696,0.0,0.163,0.794,109.072,2.72,4
3YqafSKCCazkxZUdO23iWf,"sanah, Daria Zawiałow",Eldorado,Poland,0.536,0.744,6,-7.845,0,0.0292,0.0377,0.0651,0.106,0.307,137.947,4.2,4
4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",I'm Good (Blue),Poland,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,2.92,4
5GqUS2hyZj73WXpIamn5gA,"Oki, @atutowy",Doja Cat,Poland,0.859,0.774,11,-5.92,0,0.153,0.424,0.0,0.127,0.588,101.979,2.78,4
2KTfSSKBBfMLXwDqrtoOE5,"sanah, Dawid Podsiadło",ostatnia nadzieja,Poland,0.688,0.721,4,-7.931,0,0.0326,0.126,0.000247,0.583,0.493,104.973,3.76,4
30eyshp22VdtdZElqlyglF,"Young Igi, Oki",Pleasure,Poland,0.905,0.527,11,-6.324,0,0.198,0.0224,2.03e-06,0.12,0.825,144.997,2.68,4
2yEWVnp65tTXSrRW03IqXs,"WŁODAR, Pedro",SIĘ WJEŻDŻA,Poland,0.907,0.479,8,-7.091,1,0.271,0.254,0.0,0.0651,0.539,89.983,2.02,4
1A9coun3RG2nHmxAnajLYG,"2115, BLACHA, White 2115, flexxy2115, Kuqe 2115",TURYSTA,Poland,0.844,0.708,1,-7.135,1,0.0779,0.112,6.64e-05,0.159,0.568,130.043,2.8,4
4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,Poland,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,2.47,4
