track_id,artist_names,track_name,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,time_signature
5BGdBH8MsaHCgfr4TMpRin,"Bárbara Bandeira, Ivandro",Como Tu (feat. Ivandro),Portugal,0.562,0.671,1,-8.672,0,0.437,0.665,5.86e-06,0.4,0.43,187.57,3.46,4
3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),Portugal,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,2.62,4
7BELSQR2lAJLELaKvVkct3,Ivandro,Lua,Portugal,0.629,0.348,3,-10.154,0,0.0854,0.843,0.000107,0.117,0.35,152.088,3.21,4
5vC8UAOHeG95ehRzZChniB,"L7NNON, DJ Biel do Furduncinho, Bianca",Ai Preto,Portugal,0.953,0.57,6,-5.149,1,0.245,0.537,0.0,0.0993,0.834,129.947,2.19,4
4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Portugal,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,2.79,4
53tfEupEzQRtVFOeZvk7xq,ROSALÍA,DESPECHÁ,Portugal,0.914,0.622,7,-6.538,1,0.0892,0.146,1.68e-05,0.0632,0.77,130.04,2.61,4
5IgjP7X4th6nMNDh4akUHb,Chris Brown,Under The Influence,Portugal,0.733,0.69,9,-5.529,0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,3.08,4
1IHWl5LamUGEuP4ozKQSXZ,Bad Bunny,Tití Me Preguntó,Portugal,0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,4.06,4
7qoIhutxU269Zqo9PG5IOj,"Pineapple StormTv, Chris MC, Salve Malak, Tz da Coronel, MC Cabelinho, Chefin, L7NNON, Luísa Sonza, Oruam, Xamã, N.I.N.A",Poesia Acústica 13,Portugal,0.572,0.579,10,-7.242,0,0.128,0.469,0.0,0.136,0.5,127.982,10.34,4
1OZ4uv7OAP24Ix6j3vojLt,"Mc Paiva ZS, MC Ryan SP, Kotim",Casei Com a Putaria,Portugal,0.585,0.6,10,-7.008,0,0.436,0.117,0.0,0.0504,0.617,160.635,2.62,4
0dLkZwE2Xt4ETtUt5cED2l,Juliette,Diferença Mara,Portugal,0.603,0.494,11,-11.163,1,0.0362,0.534,0.0,0.0947,0.705,160.008,2.83,4
6xGruZOHLs39ZbVccQTuPZ,Joji,Glimpse of Us,Portugal,0.44,0.317,8,-9.258,1,0.0531,0.891,4.78e-06,0.141,0.268,169.914,3.89,3
4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",I'm Good (Blue),Portugal,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,2.92,4
0dAZ5dCofHy6rquqU6YG29,Matias Damásio,Como Antes,Portugal,0.574,0.776,2,-5.288,0,0.0491,0.392,0.000191,0.211,0.516,171.932,3.74,4
5bBQI31u2eqXJE5OyP4hxq,"Mizzy Miles, Deejay Telio, Teto, Gson",EUROPA (feat. Gson),Portugal,0.794,0.619,2,-5.636,1,0.0991,0.0701,0.0,0.164,0.183,98.05,3.61,4
4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,Portugal,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,2.47,4
0i4UV3HjjvsUuV3BajEXoD,"MC Tairon, Mc Vitin Da Igrejinha, Dj Win",Baile no Morro,Portugal,0.714,0.404,3,-7.903,0,0.453,0.457,0.0,0.0701,0.782,130.088,2.34,4
7AwVSKaQxpidrtYBerkHKk,"Ana Castela, Melody, Dj Chris No Beat",Pipoco,Portugal,0.774,0.742,8,-4.178,1,0.0766,0.473,0.000472,0.342,0.736,134.991,3.23,4
2tTmW7RDtMQtBk7m2rYeSw,"Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52",Portugal,0.621,0.782,2,-5.548,1,0.044,0.0125,0.033,0.23,0.55,128.033,3.32,4
7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,Portugal,0.442,0.538,4,-8.55,0,0.0451,0.717,2.95e-05,0.09,0.139,122.758,4.07,4
3q3EBdrTrlF4PmJQTZ17ie,"Calema, Zé Felipe",Onde Anda,Portugal,0.683,0.66,1,-8.44,0,0.295,0.261,0.0,0.101,0.561,99.913,2.96,4
0jAAnWNbcHf6X1EXOtvOT7,MC Kevin o Chris,Incendeia,Portugal,0.893,0.461,3,-5.708,0,0.422,0.713,0.0406,0.117,0.864,135.136,4.0,4
5zNxUkUW9WiV5oyg6gh2wB,"PEDRO SAMPAIO, Mc Pedrinho",DANÇARINA,Portugal,0.778,0.571,9,-4.776,0,0.0788,0.0423,0.0,0.0964,0.554,134.999,1.84,4
7qD2vjd3btuOgwpQPEY7ci,"Mc Don Juan, MC G15, Mc Davi",EU VOU COM CARINHO ELA QUER COM FORÇA,Portugal,0.82,0.28,5,-11.742,1,0.0485,0.353,1.69e-05,0.116,0.209,129.854,2.4,4
5fjD0vHh9XRL6b657FWe9C,Plutonio,Por Enquanto,Portugal,0.696,0.708,1,-6.815,1,0.0666,0.492,0.000726,0.101,0.699,97.907,2.37,4
0oKpBxCq4U5IvUZqMuVMM3,Bárbara Tinoco,chamada não atendida,Portugal,0.44,0.347,6,-8.369,0,0.1,0.87,1.58e-05,0.115,0.134,172.593,3.41,4
3LtpKP5abr2qqjunvjlX5i,Central Cee,Doja,Portugal,0.911,0.573,6,-7.43,1,0.288,0.38,0.0,0.403,0.972,140.04,1.62,4
4x5q5T5mhE1xvoCVXY6qrN,"DJ AK BR, Dj Darge",Melodia Alucinógena,Portugal,0.685,0.644,1,-9.458,1,0.0365,0.746,0.755,0.157,0.405,130.077,3.06,4
0WtM2NBVQNNJLh6scP13H8,"Rema, Selena Gomez",Calm Down (with Selena Gomez),Portugal,0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,3.99,4
5PSkF3QpVMlAx8U5Inxj39,"Mc Jacaré, Dj Tk",Vento Forte,Portugal,0.86,0.78,3,-4.158,0,0.131,0.246,0.000827,0.31,0.801,130.048,2.06,4
4PQdrXMDHDPl1RczrrlADd,Luan Santana,MORENA,Portugal,0.526,0.731,11,-4.662,1,0.0887,0.18,0.0,0.0891,0.476,86.959,3.22,4
4aoZBldNDVYmTwmeoI49ud,"Mc Gabzin, DJ TAK VADIÃO, dj sv",O Poder Dessa Garota,Portugal,0.763,0.474,4,-3.584,0,0.0767,0.686,0.0,0.0835,0.788,86.585,2.28,5
76OGwb5RA9h4FxQPT33ekc,Rosa Linn,SNAP,Portugal,0.565,0.636,0,-8.198,1,0.0638,0.107,9.9e-06,0.447,0.525,170.01,2.99,4
5ww2BF9slyYgNOk37BlC4u,Manuel Turizo,La Bachata,Portugal,0.835,0.679,7,-5.329,0,0.0364,0.583,1.98e-06,0.218,0.85,124.98,2.71,4
6hFwju6M40CKovKBPu5IpY,Jovem Dionisio,ACORDA PEDRINHO,Portugal,0.876,0.359,11,-11.169,0,0.341,0.187,1.71e-06,0.666,0.876,124.016,2.88,4
38T0tPVZHcPZyhtOcCP7pF,Lil Nas X,STAR WALKIN' (League of Legends Worlds Anthem),Portugal,0.637,0.715,2,-4.971,0,0.0455,0.148,0.0,0.0892,0.308,141.872,3.51,4
6bTdZ7xfKp3NqqADJ8HLyj,"Matuê, WIU, Teto",Vampiro,Portugal,0.782,0.643,8,-4.956,0,0.0438,0.0136,0.0,0.0654,0.627,114.994,4.17,4
2DB4DdfCFMw1iaR6JaR03a,"Camila Cabello, Ed Sheeran",Bam Bam (feat. Ed Sheeran),Portugal,0.756,0.697,8,-6.377,1,0.0401,0.182,0.0,0.333,0.956,94.996,3.43,4
3AJwUDP919kvQ9QcozQPxg,Coldplay,Yellow,Portugal,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,4.45,4
4zN21mbAuaD0WqtmaTZZeP,"James Hype, Miggy Dela Rosa",Ferrari,Portugal,0.847,0.69,1,-7.877,0,0.0493,0.0127,6e-05,0.0526,0.692,125.004,3.11,4
0NBgyml7T0IvUNbXIkcSpH,"Xamã, Gustah, Neo Beats, Bagua Records",Malvadão 3,Portugal,0.821,0.609,6,-6.541,0,0.268,0.378,0.0,0.136,0.516,133.133,2.36,4
02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Portugal,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,3.98,4
3gK5ckT0cq3t5enyqzzRgV,PEDRO SAMPAIO,GALOPA,Portugal,0.763,0.85,1,-4.036,0,0.0409,0.285,0.0,0.104,0.77,150.009,2.34,4
3imzmQM2DPPVBLMiBBexRL,"Kweller, Enzo Cello",202,Portugal,0.76,0.305,5,-10.233,0,0.303,0.7,0.0,0.184,0.788,119.992,2.83,4
57rx7d5tagl2wOWzj3eWJc,Ivandro,Moça,Portugal,0.546,0.41,4,-10.538,0,0.421,0.522,5.05e-05,0.0945,0.317,63.1,3.01,3
7a8GawTVgHZvBLQOh46he7,Arctic Monkeys,I Wanna Be Yours,Portugal,0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,3.07,4
2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,Portugal,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4.01,4
30WnHkBkq3vE8jJcNZ3RKr,Wet Bed Gang,Praça Onze,Portugal,0.595,0.73,6,-5.968,0,0.113,0.285,0.0,0.116,0.189,93.849,4.39,4
2Z8pPatBfVlRqNlsnmMdhV,Richie Campbell,Let You Go,Portugal,0.477,0.578,0,-8.957,0,0.356,0.807,0.0,0.103,0.298,87.907,3.41,4
4NJKCE1TBC653P3dCnto0u,Mc Gabzin,Simplesmente Ela,Portugal,0.572,0.616,4,-2.609,0,0.083,0.227,0.0,0.0728,0.545,83.04,2.68,3
1xzi1Jcr7mEi9K2RfzLOqS,Beyoncé,CUFF IT,Portugal,0.78,0.689,7,-5.668,1,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,3.76,4
4a0sqvCBo7aRIS4GzBQpnp,"MC Braz, MC Tairon, Dj Win",Kikando e Me Olhando,Portugal,0.742,0.439,3,-5.141,0,0.28,0.637,0.0,0.0876,0.842,85.974,3.51,3
