track_id,artist_names,track_name,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,time_signature
3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),Romania,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,2.62,4
4i9Ul89UPf5YPppdOspCH6,Tzanca Uraganu,Havana,Romania,0.895,0.578,2,-4.895,1,0.081,0.349,0.000556,0.125,0.515,135.965,2.76,4
4JjurgsSCdNejiuOZ98PyQ,"Ian, Aerozen, FLORIS, Oscar",Gestu,Romania,0.864,0.568,11,-8.684,1,0.0844,0.0212,0.0,0.13,0.15,121.991,5.02,4
47YtkJKWNuemFKKFT3QklE,Oscar,Antetokounmpo,Romania,0.649,0.675,0,-6.175,0,0.074,0.218,0.0,0.239,0.33,130.051,4.95,4
17AmTJ2vJJGi5cLU3TnccV,RAVA,Regina Nopții,Romania,0.635,0.813,8,-5.5,0,0.0509,0.0158,0.0,0.127,0.387,169.904,3.23,4
1oanM8lNb88L5ZuKkVp9va,"Killa Fonic, RAVA",Brasileira - From “TEAMBUILDING” The Movie,Romania,0.895,0.607,7,-6.934,1,0.125,0.361,0.000145,0.22,0.725,100.034,3.36,4
1b8wUmTTj17WAEHlu9UFsl,"Iuly Neamtu, Manele Mentolate",Test Drive,Romania,0.702,0.822,6,-5.253,0,0.293,0.161,0.000584,0.208,0.776,188.21,2.52,4
5jjPoxrz3NRainOx1DtAPv,Ian,Urgențe,Romania,0.812,0.766,2,-6.631,1,0.0797,0.00218,9e-06,0.137,0.433,155.977,3.34,4
1YvYEbR7ITXJ0Msk4ORZxY,Ian,Lumea asta,Romania,0.866,0.561,5,-7.92,0,0.119,0.0141,5.79e-05,0.1,0.646,134.932,2.78,4
7q7KhsazHZG8EM8Qt08YmO,RAVA,BULIBA$HA,Romania,0.698,0.713,7,-5.743,1,0.144,0.67,0.00621,0.365,0.499,138.252,1.62,4
60sy8u1IoawaNCSKG0g7t9,"RAVA, Iustin",IN LIPSA TA,Romania,0.662,0.615,11,-6.322,0,0.0338,0.183,0.0,0.169,0.429,149.974,3.2,4
4XLLdFJdwmvdtkwQuXAFut,Ian,La san,Romania,0.821,0.682,5,-9.65,0,0.0644,0.0474,0.000134,0.11,0.632,94.014,3.46,4
1C0G4YZEz2eOQlL2HfbyFO,"Bogdan DLP, Gheboasă, LilCagula, Beach, Please!",Dacă n-ai bani,Romania,0.777,0.805,10,-5.376,0,0.139,0.114,1e-06,0.114,0.578,179.953,3.29,4
5mzzRWsQNt3dwS1n4V0W9W,Ian,Gangu pe la bloc - From “TEAMBUILDING” The Movie,Romania,0.699,0.633,5,-7.578,0,0.0633,0.0948,2.5e-05,0.0978,0.73,164.05,2.23,4
5IgjP7X4th6nMNDh4akUHb,Chris Brown,Under The Influence,Romania,0.733,0.69,9,-5.529,0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,3.08,4
6VcmY5O2WE00BaF9fomffm,"RAVA, NOSFE, YNY Sebi",CUM SE MIȘCĂ,Romania,0.589,0.604,11,-5.827,1,0.363,0.593,0.0,0.0919,0.212,78.954,2.71,3
5h1Zucrq9PfrPdMBryoTW5,M.G.L.,CONTACT FATAL 2,Romania,0.804,0.702,8,-6.583,1,0.0821,0.237,0.0,0.252,0.546,130.075,2.43,4
62pL0bFEaRUwN5hU2JGFrZ,"Beach, Please!, Gheboasă, LilCagula",Dacă n-ai bani,Romania,0.798,0.822,10,-5.5,0,0.216,0.109,5.56e-06,0.0882,0.657,179.985,2.58,4
19sbsJ3EPMs1nQdmMXCFFi,RAVA,$P$ - Studio Session #02,Romania,0.739,0.735,8,-6.276,1,0.119,0.431,0.0026,0.131,0.53,139.933,2.51,4
4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",I'm Good (Blue),Romania,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,2.92,4
5OWc2Do2QpzlrfPASWjbTX,"Azteca, Amuly, Rava",A Â,Romania,0.839,0.716,1,-7.909,1,0.0848,0.151,0.0,0.1,0.288,128.106,4.28,4
4isHNSvb4ZzGGUbSLPCLMD,Oscar,Toxic,Romania,0.579,0.725,11,-7.718,0,0.291,0.327,0.0,0.58,0.633,172.044,2.06,4
4KoesiedslACxSRFunogFJ,"Killa Fonic, Delia",Cum Am Știut,Romania,0.676,0.636,5,-7.053,0,0.0329,0.199,7.37e-06,0.3,0.58,139.912,3.56,4
3rNXwhTLSzp2bclr1BRC29,"Alina Eremia, Oscar",Umeri de piatră (cu Oscar),Romania,0.605,0.456,1,-9.98,0,0.251,0.137,0.0,0.12,0.323,163.897,3.34,4
7Enmh2pt5fiYgoNlbzK70K,Ian,60 De Zile II,Romania,0.653,0.431,6,-11.289,0,0.0524,0.533,0.0,0.114,0.496,88.925,3.81,4
6KJ9V4Veqlc46xQK5GmyRY,"RAVA, Alduts Sherdley",Dungă,Romania,0.648,0.543,9,-8.899,0,0.122,0.954,0.0227,0.175,0.594,99.667,2.92,4
3uCnYdw2AG9HfWgwNdqmPv,"Roxen, RAVA","Niciodata inapoi (from ""TEAMBUILDING The Movie"")",Romania,0.568,0.729,10,-5.957,1,0.0451,0.0679,0.0,0.0939,0.0979,131.858,3.5,4
2RKuEYbimyHurRAlqE8Tgf,"Beach, Please!, Gheboasă",DĂ-I ȚIGANCA,Romania,0.881,0.729,4,-7.446,0,0.141,0.0408,0.0,0.0874,0.429,95.003,2.61,4
5wQYjcX7kA26lF4pIcNVnP,Ian,Veste,Romania,0.717,0.677,1,-10.727,1,0.0641,0.000559,0.091,0.267,0.197,159.903,3.52,4
6r2UqgPxaMxZEXwrOnZ7bm,"YNY Sebi, Bogdan DLP",Tarabanele,Romania,0.727,0.827,2,-3.464,1,0.047,0.0139,0.000114,0.135,0.528,91.015,2.33,4
4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Romania,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,2.79,4
0nkeV4kaa4xvifptkypzDY,"Mario Fresh, Renvto",Necesar,Romania,0.84,0.578,1,-8.921,0,0.109,0.551,1.12e-05,0.106,0.598,93.107,3.14,4
09Ylu166NCvXW8ZY4lA39W,Ian,Timeout,Romania,0.88,0.797,1,-6.104,1,0.0344,0.266,0.0444,0.0714,0.332,112.898,1.27,4
2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,Romania,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4.01,4
23S8qffmiX68DFEoaFXQz6,YNY Sebi,Defectul Meu,Romania,0.715,0.688,9,-8.249,1,0.352,0.436,0.0,0.121,0.475,155.016,2.68,4
3DBLUk2LjwjBak3dN3qvRz,"Theo Rose, Ian",Sangele Frate Nu Te Face,Romania,0.749,0.862,2,-3.17,0,0.121,0.504,0.0,0.235,0.421,102.003,2.98,4
2dAmNhVPH2jaM6pnGCc1Kt,"Ian, Oscar",Oare,Romania,0.83,0.605,6,-7.483,0,0.0703,0.0185,0.0,0.0952,0.157,121.969,2.95,4
6EIBhgEms3hJczZMzB7iTX,RAVA,Giulesti Crangasi,Romania,0.696,0.831,4,-4.711,1,0.2,0.16,0.0305,0.193,0.824,166.069,2.82,4
5GAHQvyhSdzEZf46qV2WIt,Oscar,Recunoaște Măcar,Romania,0.834,0.712,10,-8.314,0,0.173,0.185,0.0,0.207,0.651,122.058,3.48,4
2Uo05C56sVFgtHWDmVIrp7,"LilCagula, NL Moxxie",Biliard 2,Romania,0.737,0.441,11,-13.149,1,0.438,0.183,0.0,0.342,0.855,164.76,2.59,4
62oHVZYgTX6DqaHQPWVIuU,"Beach, Please!, Berechet",112,Romania,0.876,0.601,5,-8.153,0,0.1,0.0539,2.18e-05,0.355,0.472,125.893,2.1,4
7DbdUf8aHSYoliSjO6LZv6,Beach Weather,"Sex, Drugs, Etc.",Romania,0.572,0.839,4,-5.083,0,0.0377,0.013,0.00976,0.522,0.465,143.969,3.28,4
4zN21mbAuaD0WqtmaTZZeP,"James Hype, Miggy Dela Rosa",Ferrari,Romania,0.847,0.69,1,-7.877,0,0.0493,0.0127,6e-05,0.0526,0.692,125.004,3.11,4
2q6T5nQmycnhnBDh7BmOec,"IDK, Berechet",Promite-mi,Romania,0.715,0.54,6,-8.748,0,0.139,0.453,0.0,0.361,0.205,100.006,3.6,4
51v9SiSHL3DVrEC8QRxQN8,Tzanca Uraganu,Hai ca m-ai sedus,Romania,0.838,0.876,2,-6.181,1,0.0448,0.0256,0.01,0.342,0.938,138.014,2.7,4
1xK59OXxi2TAAAbmZK0kBL,d4vd,Romantic Homicide,Romania,0.571,0.544,6,-10.613,1,0.0299,0.453,0.00805,0.322,0.216,132.052,2.21,4
6sOyrZvYjDeZ781vZomWXT,"Ian, Amuly",60 De Zile,Romania,0.779,0.448,3,-7.985,0,0.0458,0.0507,0.0,0.159,0.464,98.035,2.94,4
5vVcl5Uni8HJPDTEQSTeN2,"Pikone, Raul Ws, Akboi",VROOM,Romania,0.808,0.638,1,-6.883,0,0.0769,0.00296,1.3e-06,0.294,0.547,89.004,2.35,4
4BLAVEh9PKN0dKbAvntYP6,"Mgk666, Nutu","Bani, Putere, Respect",Romania,0.91,0.708,1,-6.607,1,0.25,0.126,0.0,0.1,0.626,99.984,2.0,4
7l1amnUcwOBdJQtLEmMKNi,"Tzanca Uraganu, Manele Mentolate",Banii,Romania,0.882,0.767,6,-4.598,1,0.199,0.101,0.0,0.083,0.902,160.034,2.28,4
