track_id,artist_names,track_name,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,time_signature
0WtM2NBVQNNJLh6scP13H8,"Rema, Selena Gomez",Calm Down (with Selena Gomez),Saudi Arabia,0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,3.99,4
1BYZxKSf0aTxp8ZFoeyM3d,girl in red,we fell in love in october,Saudi Arabia,0.566,0.366,7,-12.808,1,0.028,0.113,0.181,0.155,0.237,129.959,3.07,4
5IgjP7X4th6nMNDh4akUHb,Chris Brown,Under The Influence,Saudi Arabia,0.733,0.69,9,-5.529,0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,3.08,4
7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,Saudi Arabia,0.442,0.538,4,-8.55,0,0.0451,0.717,2.95e-05,0.09,0.139,122.758,4.07,4
4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Saudi Arabia,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,2.79,4
3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),Saudi Arabia,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,2.62,4
7gRFDGEzF9UkBV233yv2dc,BLACKPINK,Shut Down,Saudi Arabia,0.818,0.69,0,-5.119,1,0.0454,0.00327,0.0,0.186,0.688,110.071,2.93,3
76OGwb5RA9h4FxQPT33ekc,Rosa Linn,SNAP,Saudi Arabia,0.565,0.636,0,-8.198,1,0.0638,0.107,9.9e-06,0.447,0.525,170.01,2.99,4
5zwwW9Oq7ubSxoCGyW1nbY,BLACKPINK,Pink Venom,Saudi Arabia,0.693,0.734,4,-6.189,1,0.202,0.0145,0.0,0.217,0.708,180.06,3.12,4
2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,Saudi Arabia,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4.01,4
4v7DCN09hgXkKazefkznDQ,Akon,Lonely,Saudi Arabia,0.634,0.526,5,-7.881,0,0.0333,0.339,0.0,0.257,0.623,90.087,3.93,4
1Fid2jjqsHViMX6xNH70hE,Seafret,Atlantis,Saudi Arabia,0.4,0.479,8,-7.989,0,0.0308,0.0529,2.14e-06,0.115,0.213,166.159,3.82,4
4k6Uh1HXdhtusDW5y8Gbvy,Steve Lacy,Bad Habit,Saudi Arabia,0.686,0.494,1,-7.093,1,0.0355,0.613,5.8e-05,0.402,0.7,168.946,3.87,4
5poJi9KfMINtm0sZ06nSoD,محمد آل نجم,‎يا ابن خماش,Saudi Arabia,0.71,0.706,7,-5.476,0,0.258,0.639,0.0,0.535,0.852,111.909,4.05,4
3AVrVz5rK8Hrqo9YGiVGN5,Cigarettes After Sex,Apocalypse,Saudi Arabia,0.369,0.467,5,-9.018,1,0.0274,0.0194,0.46,0.109,0.174,94.473,4.84,4
0zCgWGmDF0aih5qexATyBn,Mr.Kitty,After Dark,Saudi Arabia,0.579,0.601,8,-10.492,1,0.0322,0.0673,0.414,0.0778,0.0392,140.019,4.29,4
7a8GawTVgHZvBLQOh46he7,Arctic Monkeys,I Wanna Be Yours,Saudi Arabia,0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,3.07,4
1xK59OXxi2TAAAbmZK0kBL,d4vd,Romantic Homicide,Saudi Arabia,0.571,0.544,6,-10.613,1,0.0299,0.453,0.00805,0.322,0.216,132.052,2.21,4
2kR9jxjX7j6wuHc3eaJhCq,سجاد حقي,جرح الخيانة,Saudi Arabia,0.667,0.732,1,-8.26,0,0.125,0.69,0.0,0.354,0.914,107.03,2.55,4
6qyS9qBy0mEk3qYaH8mPss,Kordhell,Murder In My Mind,Saudi Arabia,0.712,0.972,10,-0.514,1,0.112,0.00547,7.06e-05,0.128,0.568,119.966,2.42,4
3CLSHJv5aUROAN2vfOyCOh,DVRST,Close Eyes,Saudi Arabia,0.784,0.572,0,-9.853,1,0.0573,0.0748,0.843,0.139,0.209,96.181,2.21,4
3ZCTVFBt2Brf31RLEnCkWJ,Billie Eilish,everything i wanted,Saudi Arabia,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,4.09,4
58HvfVOeJY7lUuCqF0m3ly,Elley Duhé,MIDDLE OF THE NIGHT,Saudi Arabia,0.41,0.611,4,-8.271,0,0.0467,0.0228,0.0,0.116,0.0899,185.727,3.07,3
58ge6dfP91o9oXMzq3XkIS,Arctic Monkeys,505,Saudi Arabia,0.52,0.852,0,-5.866,1,0.0543,0.00237,5.79e-05,0.0733,0.234,140.267,4.23,4
7DFNE7NO0raLIUbgzY2rzm,Passenger,Let Her Go,Saudi Arabia,0.509,0.538,7,-7.335,1,0.0572,0.385,0.0,0.104,0.244,75.089,4.21,4
0HYAsQwJIO6FLqpyTeD3l6,Fujii Kaze,Shinunoga E-Wa,Saudi Arabia,0.6,0.76,6,-6.123,0,0.0451,0.167,4.07e-05,0.189,0.519,158.075,3.09,4
1cKHdTo9u0ZymJdPGSh6nq,"The Weeknd, Gesaffelstein",I Was Never There,Saudi Arabia,0.323,0.737,10,-4.008,1,0.0338,0.142,0.000162,0.163,0.155,113.26,4.02,4
1ABd3bWsG4FCKePjXeVfJG,Meiko,Leave The Lights On,Saudi Arabia,0.649,0.821,1,-6.483,0,0.0313,0.0302,0.000141,0.0843,0.661,121.938,4.14,4
5QO79kh1waicV47BqGRL3g,The Weeknd,Save Your Tears,Saudi Arabia,0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,3.59,4
6VhuP99TE6gYNQRJIlAWFD,Stephen Sanchez,Until I Found You,Saudi Arabia,0.346,0.5,10,-6.097,1,0.0388,0.757,0.0,0.189,0.191,202.466,2.94,3
7MXVkk9YMctZqd1Srtv4MB,"The Weeknd, Daft Punk",Starboy,Saudi Arabia,0.679,0.587,7,-7.015,1,0.276,0.141,6.35e-06,0.137,0.486,186.003,3.84,4
0L8LOav65XwLjCLS11gNPD,BLACKPINK,Typa Girl,Saudi Arabia,0.915,0.621,7,-6.519,1,0.1,0.0745,0.0,0.628,0.527,131.984,2.99,4
38T0tPVZHcPZyhtOcCP7pF,Lil Nas X,STAR WALKIN' (League of Legends Worlds Anthem),Saudi Arabia,0.637,0.715,2,-4.971,0,0.0455,0.148,0.0,0.0892,0.308,141.872,3.51,4
