track_id,artist_names,track_name,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,time_signature
7gRFDGEzF9UkBV233yv2dc,BLACKPINK,Shut Down,Singapore,0.818,0.69,0,-5.119,1,0.0454,0.00327,0.0,0.186,0.688,110.071,2.93,3
3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),Singapore,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,2.62,4
0e5UZadoZ5me957hKsxRYh,JVKE,golden hour,Singapore,0.511,0.594,1,-4.799,0,0.0316,0.651,0.177,0.249,0.143,94.473,3.49,3
5zwwW9Oq7ubSxoCGyW1nbY,BLACKPINK,Pink Venom,Singapore,0.693,0.734,4,-6.189,1,0.202,0.0145,0.0,0.217,0.708,180.06,3.12,4
4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,Singapore,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,2.47,4
6xGruZOHLs39ZbVccQTuPZ,Joji,Glimpse of Us,Singapore,0.44,0.317,8,-9.258,1,0.0531,0.891,4.78e-06,0.141,0.268,169.914,3.89,3
2gYj9lubBorOPIVWsTXugG,IVE,After LIKE,Singapore,0.68,0.922,0,-1.215,1,0.121,0.103,0.0,0.0877,0.799,125.014,2.95,4
0HYAsQwJIO6FLqpyTeD3l6,Fujii Kaze,Shinunoga E-Wa,Singapore,0.6,0.76,6,-6.123,0,0.0451,0.167,4.07e-05,0.189,0.519,158.075,3.09,4
0mBP9X2gPCuapvpZ7TGDk3,"Charlie Puth, Jung Kook, BTS",Left and Right (Feat. Jung Kook of BTS),Singapore,0.881,0.592,2,-4.898,1,0.0324,0.619,1.32e-05,0.0901,0.719,101.058,2.57,4
4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",I'm Good (Blue),Singapore,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,2.92,4
5IgjP7X4th6nMNDh4akUHb,Chris Brown,Under The Influence,Singapore,0.733,0.69,9,-5.529,0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,3.08,4
4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Singapore,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,2.79,4
6VhuP99TE6gYNQRJIlAWFD,Stephen Sanchez,Until I Found You,Singapore,0.346,0.5,10,-6.097,1,0.0388,0.757,0.0,0.189,0.191,202.466,2.94,3
0a4MMyCrzT0En247IhqZbD,NewJeans,Hype Boy,Singapore,0.593,0.935,4,-3.43,0,0.225,0.268,0.0,0.286,0.783,99.976,2.98,4
6I3mqTwhRpn34SLVafSH7G,Justin Bieber,Ghost,Singapore,0.601,0.741,2,-5.569,1,0.0478,0.185,2.91e-05,0.415,0.441,153.96,2.55,4
4h4QlmocP3IuwYEj2j14p8,"Nicky Youre, dazy",Sunroof,Singapore,0.768,0.714,10,-5.11,1,0.0401,0.352,0.0,0.15,0.842,131.443,2.72,4
0kqTXMHiQiB7IECD0WwcPq,TWICE,Talk that Talk,Singapore,0.774,0.905,3,-2.432,0,0.122,0.143,0.0,0.332,0.768,119.964,2.96,4
5PjdY0CKGZdEuoNab3yDmX,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),Singapore,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,2.36,4
2m6Ko3CY1qXNNja8AlugNc,Troye Sivan,Angel Baby,Singapore,0.559,0.559,11,-6.425,1,0.0358,0.0145,0.0,0.138,0.338,72.498,3.68,4
1xK59OXxi2TAAAbmZK0kBL,d4vd,Romantic Homicide,Singapore,0.571,0.544,6,-10.613,1,0.0299,0.453,0.00805,0.322,0.216,132.052,2.21,4
72OVnXDzugvrCU25lMi9au,WeiBird,"如果可以 - 電影""月老""主題曲",Singapore,0.54,0.54,3,-6.368,1,0.029,0.241,0.0,0.351,0.372,74.969,4.57,4
1gH1h30wkQdd9zhY3j7a8T,Rex Orange County,THE SHADE,Singapore,0.898,0.509,5,-7.973,1,0.062,0.391,0.0,0.0876,0.727,119.869,3.03,4
0L8LOav65XwLjCLS11gNPD,BLACKPINK,Typa Girl,Singapore,0.915,0.621,7,-6.519,1,0.1,0.0745,0.0,0.628,0.527,131.984,2.99,4
2eAvDnpXP5W0cVtiI0PUxV,Ruth B.,Dandelions,Singapore,0.609,0.692,1,-2.958,1,0.0259,0.0157,0.0,0.0864,0.454,116.959,3.9,3
2pIUpMhHL6L9Z5lnKxJJr9,NewJeans,Attention,Singapore,0.811,0.648,10,-3.684,0,0.0368,0.236,0.0,0.0761,0.695,104.988,3.0,4
6C734SmqoIYuRWo2qSCnpC,NMIXX,DICE,Singapore,0.556,0.798,7,-3.331,1,0.254,0.0848,0.0,0.33,0.628,131.096,2.76,4
2yjlYDiNiQkdxVqTlaSrlX,Nicki Minaj,Super Freaky Girl,Singapore,0.951,0.878,2,-2.565,1,0.211,0.0509,1.61e-05,0.321,0.923,133.014,2.85,4
1IVj6CsBbTgOEpo0W6hgwN,张远,嘉宾,Singapore,0.309,0.434,9,-8.88,1,0.0363,0.672,0.0,0.0896,0.427,71.585,5.56,4
2LBqCSwhJGcFQeTHMVGwy3,The Weeknd,Die For You,Singapore,0.586,0.525,1,-7.163,0,0.0615,0.111,0.0,0.134,0.508,133.629,4.34,4
38T0tPVZHcPZyhtOcCP7pF,Lil Nas X,STAR WALKIN' (League of Legends Worlds Anthem),Singapore,0.637,0.715,2,-4.971,0,0.0455,0.148,0.0,0.0892,0.308,141.872,3.51,4
1Fid2jjqsHViMX6xNH70hE,Seafret,Atlantis,Singapore,0.4,0.479,8,-7.989,0,0.0308,0.0529,2.14e-06,0.115,0.213,166.159,3.82,4
4k6Uh1HXdhtusDW5y8Gbvy,Steve Lacy,Bad Habit,Singapore,0.686,0.494,1,-7.093,1,0.0355,0.613,5.8e-05,0.402,0.7,168.946,3.87,4
0Q5VnK2DYzRyfqQRJuUtvi,IVE,LOVE DIVE,Singapore,0.703,0.709,1,-4.169,0,0.0433,0.00379,5.43e-05,0.333,0.538,117.941,2.95,4
02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Singapore,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,3.98,4
1ei3hzQmrgealgRKFxIcWn,Benson Boone,In The Stars,Singapore,0.362,0.54,10,-6.031,1,0.0528,0.338,0.0,0.139,0.3,78.007,3.61,3
3MJhPqL2IgGs7gHEB2M35q,BLACKPINK,Hard to Love,Singapore,0.654,0.768,5,-5.007,1,0.0431,0.00616,0.0,0.202,0.505,104.97,2.71,4
7xTDT7gyIrv0xWpwwXExxU,Ed Sheeran,Celestial,Singapore,0.574,0.852,2,-1.248,1,0.0397,0.0529,0.0,0.161,0.501,123.038,3.48,4
0QzuaeCEEOV40Pn7IvKEny,dhruv,double take,Singapore,0.656,0.436,8,-11.141,1,0.0744,0.845,0.0,0.221,0.196,109.239,2.86,4
7DbdUf8aHSYoliSjO6LZv6,Beach Weather,"Sex, Drugs, Etc.",Singapore,0.572,0.839,4,-5.083,0,0.0377,0.013,0.00976,0.522,0.465,143.969,3.28,4
3OM6qQmdFV6uy61GIqpRtf,Rex Orange County,AMAZING,Singapore,0.719,0.461,8,-8.191,1,0.0454,0.279,0.0,0.0875,0.548,123.915,3.49,4
76OGwb5RA9h4FxQPT33ekc,Rosa Linn,SNAP,Singapore,0.565,0.636,0,-8.198,1,0.0638,0.107,9.9e-06,0.447,0.525,170.01,2.99,4
