track_id,artist_names,track_name,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,time_signature
3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),Slovakia,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,2.62,4
4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",I'm Good (Blue),Slovakia,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,2.92,4
2sXnat46y10FtAbW2A0ira,Calin,Hannah Montana,Slovakia,0.583,0.784,6,-6.708,0,0.0882,0.0621,4.49e-05,0.171,0.744,135.08,2.64,4
4ToxkJ4VvWs026R3QfHDI3,Calin,Santé,Slovakia,0.604,0.649,2,-8.458,0,0.0524,0.4,0.273,0.186,0.273,120.111,1.9,4
4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,Slovakia,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,2.47,4
4zN21mbAuaD0WqtmaTZZeP,"James Hype, Miggy Dela Rosa",Ferrari,Slovakia,0.847,0.69,1,-7.877,0,0.0493,0.0127,6e-05,0.0526,0.692,125.004,3.11,4
54ipXppHLA8U4yqpOFTUhr,Imagine Dragons,Bones,Slovakia,0.772,0.75,5,-3.67,0,0.0455,0.0201,0.0,0.074,0.587,114.061,2.75,4
5TnbMs8fTDVrqRGrCv3Y10,"Yzomandias, NobodyListen, Luca Brassi10x, Saul, Blako, Nik Tendo",NFS,Slovakia,0.665,0.802,11,-5.346,0,0.19,0.49,0.0,0.208,0.764,92.355,3.21,4
163UXyyrFlAIQapVN3DqIp,Calin,Praha/Vídeň,Slovakia,0.778,0.449,6,-7.464,0,0.0339,0.41,0.00126,0.105,0.325,130.007,2.71,4
7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,Slovakia,0.442,0.538,4,-8.55,0,0.0451,0.717,2.95e-05,0.09,0.139,122.758,4.07,4
6IUE3plp8y2kr3oeqEtAdN,Alan Murin,Prepáč,Slovakia,0.453,0.742,11,-5.09,1,0.222,0.114,0.0,0.119,0.415,82.691,3.66,4
5IgjP7X4th6nMNDh4akUHb,Chris Brown,Under The Influence,Slovakia,0.733,0.69,9,-5.529,0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,3.08,4
4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Slovakia,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,2.79,4
1sk1HMcretzLiljqIBAZ8J,Gleb,KOMANDER PUMP IT UP,Slovakia,0.811,0.767,0,-7.368,1,0.123,0.037,0.000106,0.204,0.412,133.088,4.07,4
2YxGxCDLDmSCOOrrfX3nDN,Separ,Flow Kmeť,Slovakia,0.793,0.822,5,-4.584,0,0.149,0.186,0.0,0.0978,0.343,129.961,3.82,4
2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,Slovakia,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4.01,4
