track_id,artist_names,track_name,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,time_signature
65NAMIdsZkxYIM5ui8SJSw,"K.O, Young Stunna, Blxckie",SETE (feat. Young Stunna & Blxckie),South Africa,0.797,0.627,4,-7.096,0,0.0698,0.183,0.0,0.156,0.606,96.019,4.16,4
3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),South Africa,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,2.62,4
5YbPxJwPfrj7uswNwoF1pJ,Burna Boy,Last Last,South Africa,0.795,0.565,3,-4.457,0,0.0948,0.131,0.0,0.0802,0.55,87.925,2.87,4
5IgjP7X4th6nMNDh4akUHb,Chris Brown,Under The Influence,South Africa,0.733,0.69,9,-5.529,0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,3.08,4
1hsFJ92y0FU2cFOOLkEFVr,"Deep London, Boohle",Hamba Wena,South Africa,0.861,0.598,7,-11.155,1,0.0665,0.00483,0.0607,0.0306,0.417,113.006,6.25,4
3PdO57q0KLWkfWXsXQJlV6,"Mas Musiq, Aymos, Young Stunna",Sengizwile (feat. Aymos & Young Stunna),South Africa,0.813,0.632,3,-9.723,0,0.0482,0.0283,0.000759,0.137,0.777,112.044,7.0,4
6PqdJb18ssWDcROvnsEqy6,"AKA, Nasty C",Lemons (Lemonade),South Africa,0.767,0.525,0,-10.225,1,0.232,0.0386,2.1e-05,0.0951,0.478,98.101,4.33,4
5uWDenxq03AYLOq83WzLNo,"Kabza De Small, Young Stunna, Nobuhle, Ze2","Xola (feat. Nobuhle, Ze2 & Young Stunna)",South Africa,0.782,0.748,6,-7.331,0,0.0366,0.0584,0.000296,0.133,0.384,113.027,7.51,4
4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",I'm Good (Blue),South Africa,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,2.92,4
1xzi1Jcr7mEi9K2RfzLOqS,Beyoncé,CUFF IT,South Africa,0.78,0.689,7,-5.668,1,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,3.76,4
59nOXPmaKlBfGMDeOVGrIK,"Future, Drake, Tems",WAIT FOR U (feat. Drake & Tems),South Africa,0.463,0.642,1,-4.474,1,0.34,0.314,0.0,0.0686,0.339,83.389,3.16,4
1LsGuqHDEnix95E4ESd8gt,"MacG, Sir Trill, Bailey, EmjayKeyz",Nkantin,South Africa,0.83,0.803,0,-10.076,0,0.0631,0.103,0.000373,0.0879,0.437,112.005,5.83,4
0HaRLPnr887lcQM2YQzkff,"Burna Boy, Ed Sheeran",For My Hand (feat. Ed Sheeran),South Africa,0.87,0.479,9,-7.779,1,0.165,0.161,0.000157,0.209,0.717,104.059,2.65,4
2WigMwGJysIh9fRnSJvpjn,Oxlade,KU LO SA - A COLORS SHOW,South Africa,0.649,0.655,10,-5.534,0,0.0652,0.307,0.0,0.22,0.793,92.9,2.46,4
4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,South Africa,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,2.47,4
2nwXM9eHzj8eQBsuK9osbL,Luxury SA,Crazy Vibez,South Africa,0.817,0.596,5,-11.92,0,0.131,0.0588,0.91,0.067,0.328,116.011,5.98,4
4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,South Africa,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,2.79,4
67SKXlAbYNG5nAtadBfPm0,"Wanitwa Mos, Master KG, Lowsheen, Nkosazana Daughter",Sofa Silahlane,South Africa,0.837,0.38,9,-10.776,1,0.0716,0.0105,0.531,0.0418,0.295,113.018,6.94,4
1ULFJZX54HXXjSTMx63dk0,"Kabza De Small, Msaki",Khusela (feat. Msaki),South Africa,0.755,0.811,11,-8.731,0,0.0413,0.129,0.141,0.0826,0.219,113.009,8.35,4
75VD2d6BPTuESBrzRqD6xl,"Senior Oat, Kemy Chienda",All In You,South Africa,0.609,0.301,10,-13.958,0,0.11,0.00944,0.00341,0.186,0.321,211.997,8.54,4
4qwBmPUVUbyXjwlttBAp8J,"Temple Boys Cpt, Young King The Vocalist",Saggies,South Africa,0.952,0.823,10,-4.086,0,0.0526,0.0214,3.24e-05,0.0886,0.492,127.003,2.33,4
02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,South Africa,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,3.98,4
2sOj9vyd6yiss9W1IK6chU,"DJ Khaled, Rick Ross, Lil Wayne, JAY-Z, John Legend, Fridayy","GOD DID (feat. Rick Ross, Lil Wayne, Jay-Z, John Legend & Fridayy)",South Africa,0.42,0.725,8,-4.262,1,0.223,0.092,0.0,0.18,0.186,77.941,8.36,1
46ZvwmGP7q63FWnrvurH45,"Felo Le Tee, TOSS",Manca,South Africa,0.848,0.561,1,-10.913,1,0.0539,0.025,0.000659,0.0344,0.489,112.007,6.32,4
7FNsLSsnXwRFD4nA4V2Low,"Wanitwa Mos, Sir Trill, Nkosazana Daughter, Master KG",Kuwe,South Africa,0.877,0.371,10,-11.675,1,0.0934,0.00708,0.00522,0.0573,0.288,113.045,5.19,4
6Zt8YY9f4rr7gMJcCPkxbr,"Pabi Cooper, Mellow & Sleazy",Waga Bietjie,South Africa,0.838,0.438,1,-11.885,1,0.104,0.00382,0.0194,0.0602,0.404,112.003,5.43,4
3F5CgOj3wFlRv51JsHbxhe,"Drake, 21 Savage",Jimmy Cooks (feat. 21 Savage),South Africa,0.529,0.673,0,-4.711,1,0.175,0.000307,2.41e-06,0.093,0.366,165.921,3.64,4
2yjlYDiNiQkdxVqTlaSrlX,Nicki Minaj,Super Freaky Girl,South Africa,0.951,0.878,2,-2.565,1,0.211,0.0509,1.61e-05,0.321,0.923,133.014,2.85,4
4k6Uh1HXdhtusDW5y8Gbvy,Steve Lacy,Bad Habit,South Africa,0.686,0.494,1,-7.093,1,0.0355,0.613,5.8e-05,0.402,0.7,168.946,3.87,4
0WtM2NBVQNNJLh6scP13H8,"Rema, Selena Gomez",Calm Down (with Selena Gomez),South Africa,0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,3.99,4
62SaDdv956IYAt5nS1nWx7,"Njelic, Thabza Tee",Down The Drain,South Africa,0.909,0.62,10,-10.403,0,0.154,0.0299,0.00742,0.263,0.611,112.008,6.14,4
2wmzbXk4vMrxMW0J1q0a08,Classic Man SmF,Amour d'une mère,South Africa,0.751,0.948,3,-1.072,1,0.0989,0.632,6.66e-05,0.0846,0.821,95.99,3.98,4
