track_id,artist_names,track_name,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,time_signature
0a4MMyCrzT0En247IhqZbD,NewJeans,Hype Boy,South Korea,0.593,0.935,4,-3.43,0,0.225,0.268,0.0,0.286,0.783,99.976,2.98,4
5mdWIwsJAzR97ShGkt8gcR,"ZICO, HOMIES",New thing (Prod. ZICO) (Feat. Homies),South Korea,0.775,0.865,1,-2.015,1,0.307,0.0453,0.0,0.261,0.663,175.12,2.46,4
7gRFDGEzF9UkBV233yv2dc,BLACKPINK,Shut Down,South Korea,0.818,0.69,0,-5.119,1,0.0454,0.00327,0.0,0.186,0.688,110.071,2.93,3
2gYj9lubBorOPIVWsTXugG,IVE,After LIKE,South Korea,0.68,0.922,0,-1.215,1,0.121,0.103,0.0,0.0877,0.799,125.014,2.95,4
2pIUpMhHL6L9Z5lnKxJJr9,NewJeans,Attention,South Korea,0.811,0.648,10,-3.684,0,0.0368,0.236,0.0,0.0761,0.695,104.988,3.0,4
5zwwW9Oq7ubSxoCGyW1nbY,BLACKPINK,Pink Venom,South Korea,0.693,0.734,4,-6.189,1,0.202,0.0145,0.0,0.217,0.708,180.06,3.12,4
5aucVLKiumD89mxVCB4zvS,"Crush, j-hope",Rush Hour (Feat. j-hope of BTS),South Korea,0.738,0.714,0,-5.235,1,0.249,0.157,0.0,0.31,0.74,95.035,2.96,4
0Q5VnK2DYzRyfqQRJuUtvi,IVE,LOVE DIVE,South Korea,0.703,0.709,1,-4.169,0,0.0433,0.00379,5.43e-05,0.333,0.538,117.941,2.95,4
2DwUdMJ5uxv20EhAildreg,NewJeans,Cookie,South Korea,0.847,0.638,0,-3.764,1,0.0575,0.0596,0.0,0.0894,0.661,156.935,3.93,4
0zRezEuKtaAXHcB4eruwi2,Charlie Puth,I Don’t Think That I Like Her,South Korea,0.587,0.548,8,-5.846,0,0.0339,0.396,0.0,0.109,0.713,186.073,3.14,4
0mBP9X2gPCuapvpZ7TGDk3,"Charlie Puth, Jung Kook, BTS",Left and Right (Feat. Jung Kook of BTS),South Korea,0.881,0.592,2,-4.898,1,0.0324,0.619,1.32e-05,0.0901,0.719,101.058,2.57,4
6C734SmqoIYuRWo2qSCnpC,NMIXX,DICE,South Korea,0.556,0.798,7,-3.331,1,0.254,0.0848,0.0,0.33,0.628,131.096,2.76,4
4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,South Korea,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,2.47,4
3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),South Korea,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,2.62,4
296nXCOv97WJNRWzIBQnoj,LE SSERAFIM,FEARLESS,South Korea,0.863,0.62,7,-7.167,1,0.135,0.0508,0.00324,0.129,0.432,103.971,2.81,4
4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,South Korea,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,2.79,4
4FKmrrI6y8REWoCyV5tAhY,"10cm, BIG Naughty",Just 10 centimeters,South Korea,0.687,0.743,2,-4.716,1,0.0459,0.347,0.0,0.0799,0.545,92.002,3.26,4
5expoVGQPvXuwBBFuNGqBd,NewJeans,Hurt,South Korea,0.599,0.446,10,-6.511,0,0.0833,0.731,0.0,0.105,0.567,179.877,2.97,4
4nrDn3HEdKn524GrOSAll8,Charlie Puth,Charlie Be Quiet!,South Korea,0.753,0.662,8,-4.25,1,0.0702,0.205,3.66e-06,0.0851,0.466,94.958,2.14,4
1oen3GpTcA486fTHaT7neg,Girls' Generation,FOREVER 1,South Korea,0.615,0.871,9,-1.248,1,0.0516,0.0427,0.0,0.254,0.297,123.915,3.38,4
0HsRZwZzHoZ5AM5W2ZYI5c,"BIG Naughty, 10cm",Beyond Love (Feat. 10CM),South Korea,0.507,0.571,7,-6.909,1,0.0856,0.222,0.0,0.241,0.587,174.954,3.15,4
396FqjKmViUZ92Wmm4rx3i,aespa,Illusion,South Korea,0.75,0.718,2,-2.817,0,0.0468,0.0814,1.75e-05,0.322,0.592,90.027,3.25,4
2RLdkXSaiQjRbey5pvP8Kt,Lim Young Woong,If We Ever Meet Again,South Korea,0.401,0.394,1,-6.655,1,0.0324,0.748,0.0,0.0993,0.327,129.74,4.57,4
38T0tPVZHcPZyhtOcCP7pF,Lil Nas X,STAR WALKIN' (League of Legends Worlds Anthem),South Korea,0.637,0.715,2,-4.971,0,0.0455,0.148,0.0,0.0892,0.308,141.872,3.51,4
1nX1b7kRg5a6XKAq7uQOpr,ITZY,SNEAKERS,South Korea,0.935,0.849,7,-3.047,1,0.0779,0.0192,0.0,0.0223,0.551,119.986,2.99,4
7n2FZQsaLb7ZRfRPfEeIvr,IVE,ELEVEN,South Korea,0.828,0.731,9,-3.033,1,0.111,0.0617,0.0,0.048,0.587,119.978,2.97,4
41HriGdYdajxCJIOMiIBWs,Kim Seungmin,My pleasure Is That You Ride The Bentley,South Korea,0.688,0.608,6,-5.675,0,0.0721,0.523,0.0,0.321,0.567,99.946,3.03,4
07trPhWMgiagFnSOlmpzl0,"BE'O, ZICO",Complex (Feat. ZICO),South Korea,0.785,0.769,5,-1.919,0,0.0488,0.0799,0.0,0.111,0.947,124.983,3.25,4
1jIMjbzcGCcCQn5iMu9CUc,Charlie Puth,That's Hilarious,South Korea,0.714,0.442,6,-5.909,1,0.0605,0.742,0.0,0.114,0.546,108.039,2.45,4
3MJhPqL2IgGs7gHEB2M35q,BLACKPINK,Hard to Love,South Korea,0.654,0.768,5,-5.007,1,0.0431,0.00616,0.0,0.202,0.505,104.97,2.71,4
775S83AMYbQc8SYteOktTL,10cm,Gradation,South Korea,0.63,0.653,11,-3.592,1,0.0252,0.175,0.0,0.108,0.442,104.003,3.35,4
0xzI1KAr0Yd9tv8jlIk3sn,"benny blanco, BTS, Snoop Dogg",Bad Decisions (with BTS & Snoop Dogg),South Korea,0.762,0.861,0,-3.296,1,0.0955,0.0185,0.0,0.264,0.955,120.048,2.88,4
50xSycnGMDy0Wg5jJcOv3S,Lim Young Woong,Rainbow,South Korea,0.641,0.889,8,-3.534,1,0.0541,0.0394,0.0,0.181,0.616,96.033,3.27,4
5rJ7bdPmr8nfmm2JQ8xHOz,NAYEON,POP!,South Korea,0.793,0.859,2,-2.998,1,0.0544,0.0356,0.0,0.0343,0.392,97.001,2.8,4
0kqTXMHiQiB7IECD0WwcPq,TWICE,Talk that Talk,South Korea,0.774,0.905,3,-2.432,0,0.122,0.143,0.0,0.332,0.768,119.964,2.96,4
0IGUXY4JbK18bu9oD4mPIm,(G)I-DLE,TOMBOY,South Korea,0.755,0.87,1,-2.414,0,0.0936,0.00988,0.0,0.0917,0.645,124.032,2.91,4
0VES0jpNQEdRpD31gYDIMe,"Yoon Mirae, BIBI",LAW (Prod. Czaer),South Korea,0.756,0.9,2,-4.428,1,0.0843,0.00857,0.000111,0.237,0.55,128.054,3.16,4
2WTHLEVjfefbGoW7F3dXIg,aespa,Girls,South Korea,0.57,0.974,3,-0.173,0,0.325,0.115,0.000594,0.125,0.65,171.958,4.01,4
0HYAsQwJIO6FLqpyTeD3l6,Fujii Kaze,Shinunoga E-Wa,South Korea,0.6,0.76,6,-6.123,0,0.0451,0.167,4.07e-05,0.189,0.519,158.075,3.09,4
3AVXwaOGCEL8cmBecfcsFJ,Charlie Puth,Light Switch,South Korea,0.69,0.626,6,-5.693,1,0.306,0.105,0.000335,0.0881,0.912,184.009,3.09,4
0L8LOav65XwLjCLS11gNPD,BLACKPINK,Typa Girl,South Korea,0.915,0.621,7,-6.519,1,0.1,0.0745,0.0,0.628,0.527,131.984,2.99,4
3scRk3rUGIwpCg9kMNrtEQ,Baek A,Amor,South Korea,0.551,0.286,9,-10.174,0,0.0415,0.813,0.0,0.103,0.414,133.817,3.15,4
10qiH1RJkexhTUuN562FsP,Sion,Braindead,South Korea,0.879,0.414,4,-9.014,1,0.248,0.592,7.06e-06,0.0919,0.822,72.477,2.73,4
2jidjmWNeRmKgLjXhW52Gz,Lim Young Woong,"Our Blues, Our Life",South Korea,0.381,0.405,1,-7.325,1,0.0325,0.629,0.0,0.418,0.273,130.94,3.46,4
5PjdY0CKGZdEuoNab3yDmX,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),South Korea,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,2.36,4
5y4WmuvFX1t3NdSId0MFOh,BLACKPINK,Yeah Yeah Yeah,South Korea,0.729,0.588,1,-6.654,0,0.0359,0.00574,2.91e-06,0.0614,0.639,124.019,2.98,4
0O6u0VJ46W86TxN9wgyqDj,"Post Malone, Doja Cat",I Like You (A Happier Song) (with Doja Cat),South Korea,0.733,0.67,5,-6.009,1,0.0751,0.121,0.0,0.121,0.472,100.964,3.21,4
10SRMwb9EuVS1K9rYsBfHQ,BTS,Yet To Come,South Korea,0.559,0.885,1,-4.515,1,0.189,0.0432,0.0,0.333,0.683,172.029,3.23,4
4BLpd6QINAs4UXd1lVtdhj,Charlie Puth,Dangerously,South Korea,0.696,0.517,2,-8.379,0,0.0366,0.364,0.0,0.197,0.23,112.291,3.32,3
2lsRp40mCRkhqULWdMbOzn,Lim Young Woong,I Love You,South Korea,0.635,0.442,7,-5.919,1,0.0362,0.706,0.0,0.0929,0.609,110.862,3.98,3
1Wwh6gmMeolwzbRzfZMY5b,BLACKPINK,Ready For Love,South Korea,0.676,0.702,6,-5.446,1,0.118,0.0143,0.0,0.103,0.542,107.931,3.08,4
1lUNlmwyhsJy6kXmmrO11t,SEUNGKWAN,As It Was - Spotify Singles,South Korea,0.509,0.83,9,-4.446,1,0.0742,0.0138,0.00263,0.208,0.83,174.009,2.66,4
4Cr43xPo7bwyCcL1g3yVCu,Lim Young Woong,A bientot,South Korea,0.606,0.729,0,-4.555,1,0.0804,0.268,0.0,0.271,0.527,73.967,4.27,4
3oiMjDZ1bShIpFfOQf55IW,BE'O,LOVE me,South Korea,0.628,0.812,4,-2.669,1,0.0477,0.0689,0.0,0.34,0.683,147.872,2.89,4
5BqwC9kOBbqYkzdOKeXFFk,JANNABI,for lovers who hesitate,South Korea,0.52,0.431,10,-8.484,1,0.0284,0.705,0.000264,0.301,0.302,74.004,4.42,4
4h4QlmocP3IuwYEj2j14p8,"Nicky Youre, dazy",Sunroof,South Korea,0.768,0.714,10,-5.11,1,0.0401,0.352,0.0,0.15,0.842,131.443,2.72,4
