track_id,artist_names,track_name,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,time_signature
2tTmW7RDtMQtBk7m2rYeSw,"Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52",Spain,0.621,0.782,2,-5.548,1,0.044,0.0125,0.033,0.23,0.55,128.033,3.32,4
7iwJOi3hlMqZt6pj1sQOBj,Quevedo,Vista Al Mar,Spain,0.759,0.561,0,-5.643,0,0.131,0.803,0.121,0.101,0.491,104.915,3.01,4
5ww2BF9slyYgNOk37BlC4u,Manuel Turizo,La Bachata,Spain,0.835,0.679,7,-5.329,0,0.0364,0.583,1.98e-06,0.218,0.85,124.98,2.71,4
53tfEupEzQRtVFOeZvk7xq,ROSALÍA,DESPECHÁ,Spain,0.914,0.622,7,-6.538,1,0.0892,0.146,1.68e-05,0.0632,0.77,130.04,2.61,4
1Y62KpDaP5MEL43ZcI6IaG,"Quevedo, Ovy On The Drums",Sin Señal,Spain,0.822,0.851,11,-3.314,0,0.0422,0.333,0.00792,0.105,0.749,117.992,3.08,4
2hLXUbsOU9cDb9RFva9FYr,"Mora, Jhay Cortez",MEMORIAS,Spain,0.771,0.707,2,-6.404,0,0.055,0.389,0.0,0.0745,0.317,127.963,3.81,4
6i1g5ZRmJZAkDwBaUZ3f2i,Luar La L,Caile,Spain,0.704,0.756,0,-4.948,1,0.448,0.298,3.75e-06,0.0852,0.461,121.737,2.36,3
5jt25aFjW2kNoBqaEVaz5W,"Mora, Feid",LA INOCENTE,Spain,0.757,0.789,5,-3.46,0,0.0583,0.307,0.0,0.0717,0.464,91.911,3.37,4
6TsVhM8qIkWN5cJVDIVbbz,"Wisin & Yandel, ROSALÍA",Besos Moja2,Spain,0.736,0.727,5,-4.642,0,0.0571,0.0584,1.91e-06,0.0976,0.644,94.048,3.82,4
2CeKVsFFXG4QzA415QygGb,Feid,Feliz Cumpleaños Ferxxo,Spain,0.865,0.573,5,-5.501,1,0.0678,0.0863,0.0,0.305,0.563,94.999,2.6,4
4qGr8HmRjhdRoUCnLf82eM,"Rvfv, Duki",Pantera,Spain,0.817,0.64,9,-4.397,0,0.1,0.254,0.0,0.197,0.398,90.011,3.02,4
5cp1Nx2K3FUWIH6Rzt8u33,"Omar Montes, Khaled, Kaydy Cain, Yung Beef",Si Tú Te Vas (feat. Yung Beef) - Remix,Spain,0.779,0.712,5,-3.921,0,0.0982,0.0309,0.00455,0.0684,0.653,98.908,3.59,4
6Sq7ltF9Qa7SNFBsV5Cogx,"Bad Bunny, Chencho Corleone",Me Porto Bonito,Spain,0.911,0.712,1,-5.105,0,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,2.98,4
79HZAZNnOE97rb2hnI0XQr,"Rauw Alejandro, Lyanno, Brray",LOKERA,Spain,0.834,0.828,11,-2.657,0,0.0452,0.21,5.91e-06,0.103,0.58,102.019,3.25,4
1IHWl5LamUGEuP4ozKQSXZ,Bad Bunny,Tití Me Preguntó,Spain,0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,4.06,4
3k3NWokhRRkEPhCzPmV8TW,"Bad Bunny, Bomba Estéreo",Ojitos Lindos,Spain,0.647,0.686,3,-5.745,0,0.0413,0.08,1.34e-06,0.528,0.268,79.928,4.3,4
0EpdLuptraYGFZ6J7HNSLc,"Ana Mena, Belinda",LAS 12,Spain,0.784,0.814,6,-2.436,1,0.0464,0.0559,0.0,0.194,0.728,129.96,2.75,4
41oY4WCTj5kccfesTVFnvN,"Bad Bunny, Jhay Cortez",Tarot,Spain,0.795,0.684,11,-3.971,0,0.0419,0.0225,0.0,0.658,0.419,114.011,3.96,4
5R7l05dglCrUX0qjZ1Eec1,Cyril Kamer,Cinderella,Spain,0.793,0.694,5,-5.731,0,0.0426,0.13,0.0,0.0836,0.484,127.971,3.22,4
5dtNrI6WMGCTBbK8499242,Mora,CALENTÓN,Spain,0.455,0.592,11,-7.069,0,0.227,0.45,1.03e-06,0.116,0.512,134.025,3.38,4
5B60XFKzm8WsJTdVyt4u4I,Myke Towers,Luces De Neón,Spain,0.747,0.619,3,-6.009,1,0.0588,0.0865,2.03e-05,0.103,0.567,94.98,3.66,4
4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",I'm Good (Blue),Spain,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,2.92,4
1AWefrQG0I0OtvatTB01EZ,Munic HB,Pico y Pala,Spain,0.684,0.631,5,-5.638,0,0.0485,0.363,0.0,0.156,0.59,124.041,2.9,4
0kTMK4gNFfLXaTb62w1UaJ,"Pablo Pesadilla, Polimá Westcoast, Nickoog Clk, Fran C",BABY OTAKU,Spain,0.835,0.747,9,-4.65,1,0.083,0.0492,0.0,0.055,0.432,102.003,2.94,4
