track_id,artist_names,track_name,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,time_signature
4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",I'm Good (Blue),Sweden,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,2.92,4
3xPsqMJQNM14OrawTBiK4G,"Victor Leksell, Einár",Din låt,Sweden,0.833,0.507,7,-6.95,1,0.0413,0.191,0.0,0.0854,0.483,111.031,2.75,4
1fIeKG6eI8FZzVL9mhlz8t,Bolaget,Kan Inte Gå,Sweden,0.722,0.415,11,-9.105,0,0.132,0.231,0.0,0.238,0.661,144.774,2.45,4
05tLudzJAr4iHnDiWWdA59,Thrife,SEVILLA,Sweden,0.814,0.631,9,-9.822,0,0.0971,0.068,0.000122,0.0792,0.264,133.971,2.93,4
3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),Sweden,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,2.62,4
2ZfaBbRMcEgSF8JnJIaEBP,Hooja,Banan Melon Kiwi & Citron,Sweden,0.876,0.698,5,-9.543,1,0.0537,0.155,1.91e-05,0.181,0.85,130.033,2.8,4
1puxV64QJkmRUhhXt4T9rD,Hooja,MER & MER,Sweden,0.848,0.675,9,-8.509,0,0.104,0.105,1.85e-06,0.0833,0.505,139.988,2.39,4
7aRCAByC8ktZVKhVhDS4la,Alawee,Aktiverad,Sweden,0.938,0.781,9,-5.665,1,0.203,0.159,0.0,0.0943,0.753,131.059,2.57,4
74xfr2lyWfi2qZjWtqovBg,"Rasmus Gozzi, FRÖKEN SNUSK",RID MIG SOM EN DALAHÄST,Sweden,0.556,0.674,2,-5.518,1,0.363,0.207,0.0,0.296,0.447,208.066,2.02,4
1fzi4hh7nlMpKbT2EZl3a0,A36,Tappat - Spotify Singles,Sweden,0.496,0.553,6,-7.508,0,0.0958,0.213,0.00047,0.182,0.307,107.312,2.51,4
6WLFyN5UYRWIadKHq3LLRV,"ADAAM, Philippe, takenoelz",SÖDERMALM,Sweden,0.82,0.727,7,-5.57,0,0.267,0.185,0.0,0.325,0.741,96.085,2.56,4
5DRJr5a0J0aEIejegQvd7F,"Dizzy, Manny Flaco",ZUTTLUKTEN,Sweden,0.834,0.713,3,-5.23,0,0.25,0.203,0.0,0.075,0.862,134.003,1.91,4
2D3O7NUUdTrMu30ZtGa2s6,LOAM,F*CKED UP!,Sweden,0.796,0.532,10,-7.15,1,0.137,0.402,0.0,0.334,0.817,136.038,2.8,4
03XktnlHaenNj1tJP8zQFs,Ant Wan,Loyal,Sweden,0.743,0.591,10,-5.858,0,0.0385,0.22,0.0,0.0924,0.423,102.863,3.15,4
3HQ2hJIvStlHS8SRWFGdId,"Denz, Youzie",Chit Chat,Sweden,0.759,0.706,11,-8.476,0,0.185,0.0717,0.0,0.216,0.948,167.139,2.87,4
1VJRxqJhpEIpnHon7ssp1p,Babblarna,Babblarnas vaggvisa,Sweden,0.299,0.234,11,-13.009,1,0.0321,0.828,0.000101,0.0959,0.333,186.369,5.57,4
1RwQZNgaXl01krZHuSUlE8,"Elov & Beny, Sofie Svensson & Dom Där",BUBBEL PÅ BALKONGEN,Sweden,0.714,0.732,0,-5.357,0,0.174,0.662,0.0,0.105,0.72,179.951,2.77,4
5fvrpWPEDhM6IDyKb56ySV,Hooja,LIVET PÅ EN PINNE,Sweden,0.854,0.626,0,-9.012,1,0.0533,0.424,0.0,0.223,0.659,101.009,2.73,4
5PzratDTUf07VyMKrGGxz3,El Papi,Hjerteløs,Sweden,0.597,0.772,5,-8.032,0,0.0777,0.0562,0.00397,0.395,0.532,164.036,2.3,4
5hnGrTBaEsdukpDF6aZg8a,Dean Lewis,How Do I Say Goodbye,Sweden,0.4,0.641,8,-6.303,1,0.0674,0.214,0.0,0.0656,0.393,81.552,2.73,4
2acI4LUjCjPuFk0Y05yVNZ,"Owen, Asme",DIRTY,Sweden,0.769,0.555,0,-6.63,0,0.149,0.201,0.00267,0.125,0.472,121.986,2.3,4
7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,Sweden,0.442,0.538,4,-8.55,0,0.0451,0.717,2.95e-05,0.09,0.139,122.758,4.07,4
3Tp6XRivI85TAfpgja9ILh,Miss Li,X,Sweden,0.854,0.679,1,-4.135,0,0.0339,0.00455,0.0,0.0864,0.946,125.975,2.7,4
4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Sweden,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,2.79,4
6ts0bxk9N8qiVA7UhhFOJY,"Laleh, Darin",Vi Är På Riktigt,Sweden,0.741,0.74,0,-5.514,1,0.0291,0.15,1.14e-05,0.17,0.878,124.987,3.13,4
76OGwb5RA9h4FxQPT33ekc,Rosa Linn,SNAP,Sweden,0.565,0.636,0,-8.198,1,0.0638,0.107,9.9e-06,0.447,0.525,170.01,2.99,4
4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,Sweden,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,2.47,4
6lW1r61qewMDG7oJGVP1EZ,"23, VC Barre",Catfish,Sweden,0.725,0.751,2,-8.683,1,0.347,0.0883,0.0,0.273,0.753,142.018,2.5,4
7xTDT7gyIrv0xWpwwXExxU,Ed Sheeran,Celestial,Sweden,0.574,0.852,2,-1.248,1,0.0397,0.0529,0.0,0.161,0.501,123.038,3.48,4
5maA851Fle6XexgJgJzFjF,"Humlan Djojj, Josefine Götestam",Djurens vaggvisa,Sweden,0.743,0.0349,0,-17.89,1,0.0504,0.972,2.24e-06,0.108,0.451,99.969,2.33,4
0QfxhyX9dky9Zgfr2xhNzR,Hooja,Donkey Kong,Sweden,0.911,0.6,0,-9.232,1,0.0945,0.0395,0.0557,0.178,0.436,120.026,2.47,4
2NnO7FJonRjGvAjm3LwKvl,"LOAM, ADAAM",FAKKA UR,Sweden,0.94,0.439,7,-11.171,1,0.516,0.302,0.0,0.125,0.722,123.041,2.21,4
6mDcLPGVCmdhMN4gBzNb7s,"1.Cuz, Greekazo, Yei Gonzalez",FÖRSENT,Sweden,0.937,0.707,10,-5.153,0,0.146,0.18,0.000376,0.186,0.766,100.031,3.04,4
2TLVUAQzq9FnzSxFYGOF7Y,Henric Edström,Hot Girls (dricker hotshots),Sweden,0.755,0.731,7,-5.891,1,0.256,0.548,0.0,0.235,0.876,110.369,1.61,4
1bgKMxPQU7JIZEhNsM1vFs,"Alesso, Zara Larsson",Words (feat. Zara Larsson),Sweden,0.739,0.586,10,-5.079,0,0.0472,0.0245,0.000252,0.308,0.444,124.026,2.38,4
5IgjP7X4th6nMNDh4akUHb,Chris Brown,Under The Influence,Sweden,0.733,0.69,9,-5.529,0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,3.08,4
38T0tPVZHcPZyhtOcCP7pF,Lil Nas X,STAR WALKIN' (League of Legends Worlds Anthem),Sweden,0.637,0.715,2,-4.971,0,0.0455,0.148,0.0,0.0892,0.308,141.872,3.51,4
6G1Mz5yMgn0ydOlIvTrZ65,TALK,Run Away to Mars,Sweden,0.554,0.38,9,-10.666,1,0.0314,0.526,0.0,0.213,0.284,118.925,3.56,4
0qswyajymNk1uMRplcKx3P,Hooja,GÅR DET BRA?,Sweden,0.702,0.632,10,-7.704,0,0.35,0.713,0.000292,0.21,0.561,159.768,2.43,4
1khruC7lTyH8MPLx1VYxYE,"Sebastian Stakset, 23",BLÖDER FRÅN SJÄLEN,Sweden,0.559,0.723,8,-6.56,0,0.292,0.195,0.0,0.249,0.39,123.979,2.84,5
3KSegg0APyp082vo9peW7e,Hov1,FREE SMOKE,Sweden,0.727,0.572,1,-5.821,1,0.307,0.775,0.0,0.102,0.885,151.197,2.66,4
2JDsYmNrm68Om1TK0D4VeA,"23, C.Gambino",En Chans,Sweden,0.708,0.59,7,-12.75,0,0.185,0.489,0.0268,0.572,0.42,103.824,2.08,4
1xzi1Jcr7mEi9K2RfzLOqS,Beyoncé,CUFF IT,Sweden,0.78,0.689,7,-5.668,1,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,3.76,4
7wdwIaXUuzlu1grzWMFRJm,Ghost,Mary On A Cross,Sweden,0.467,0.9,11,-4.505,1,0.0451,0.000187,0.000493,0.105,0.554,130.027,4.08,4
2GcKDi81Fn68QAnwWV0E6j,Jireel,Tar hand om dig,Sweden,0.528,0.842,5,-5.518,0,0.295,0.0253,5.66e-06,0.0727,0.664,154.036,3.11,5
2WigMwGJysIh9fRnSJvpjn,Oxlade,KU LO SA - A COLORS SHOW,Sweden,0.649,0.655,10,-5.534,0,0.0652,0.307,0.0,0.22,0.793,92.9,2.46,4
5TJEBoTCDbJXiKMdCN9pd3,"Elton John, Britney Spears",Hold Me Closer,Sweden,0.659,0.772,0,-4.595,1,0.11,0.0748,0.000346,0.187,0.484,126.018,3.37,4
1ei3hzQmrgealgRKFxIcWn,Benson Boone,In The Stars,Sweden,0.362,0.54,10,-6.031,1,0.0528,0.338,0.0,0.139,0.3,78.007,3.61,3
3caeN4bneZW7GQAqwslu2U,Einár,Lilla Nisse,Sweden,0.712,0.588,0,-10.303,1,0.321,0.271,0.0,0.083,0.472,97.063,3.2,4
3LtpKP5abr2qqjunvjlX5i,Central Cee,Doja,Sweden,0.911,0.573,6,-7.43,1,0.288,0.38,0.0,0.403,0.972,140.04,1.62,4
4gORd3Ws62ueWU2tQ2Fe16,"De Vet Du, Bolaget",SUPA,Sweden,0.712,0.655,6,-8.939,0,0.0573,0.0327,6.19e-06,0.0832,0.52,161.926,2.97,4
21qmv5S238wxa9ZDiwbllJ,"VC Barre, 01an",Devilish,Sweden,0.697,0.731,11,-7.206,0,0.395,0.0977,0.0,0.564,0.765,98.223,2.48,4
6wT8TBV3CkKbNvuDjxeGaa,Myra Granberg,Grammofon,Sweden,0.63,0.669,5,-5.651,1,0.157,0.0309,0.0,0.314,0.702,139.904,3.16,4
47aGU91Mqqjt1ZJ9NgQXqY,Beathoven,PRIMADONNA,Sweden,0.767,0.787,11,-6.946,1,0.0575,0.0367,8.82e-05,0.048,0.675,154.996,2.27,4
5BtXbZ4dArIaZka8pNzSp0,Lee Bloccboy,4 grabbar,Sweden,0.842,0.558,6,-7.017,0,0.25,0.0291,0.00243,0.0824,0.454,83.021,2.41,4
64s0ZmTEwVhztlrEP6Xt9J,Sarettii,MATADOR,Sweden,0.878,0.527,8,-10.173,0,0.137,0.378,0.00183,0.297,0.735,132.003,3.28,4
5YbPxJwPfrj7uswNwoF1pJ,Burna Boy,Last Last,Sweden,0.795,0.565,3,-4.457,0,0.0948,0.131,0.0,0.0802,0.55,87.925,2.87,4
7ofOfhBu0FCuVemv4zL8Ry,Ant Wan,Komplicerat,Sweden,0.503,0.871,2,-6.336,0,0.0885,0.0451,0.0135,0.111,0.383,98.848,2.32,4
5TFJLlEljmmlxS3s58oQN8,Newkid,Stå med mig i regnet - Spotify Studio It's Hits Recording,Sweden,0.532,0.495,5,-8.271,0,0.0349,0.0147,2.22e-06,0.0712,0.0774,122.701,3.91,4
7iKUMPi3CcDLLNF4pU1vND,Olivia Lobato,Syrener,Sweden,0.643,0.476,7,-8.673,0,0.0337,0.106,0.0202,0.104,0.358,122.948,3.05,4
21H0pUV2uPIPcFnFhgTBjo,"Kygo, Gryffin, Calum Scott",Woke Up in Love,Sweden,0.643,0.585,2,-5.994,1,0.0369,0.225,0.0,0.0927,0.188,106.015,3.61,4
1DIXPcTDzTj8ZMHt3PDt8p,"Coolio, L.V.",Gangsta's Paradise,Sweden,0.647,0.514,8,-10.05,1,0.0593,0.0655,0.0,0.398,0.386,79.975,4.01,4
0HaRLPnr887lcQM2YQzkff,"Burna Boy, Ed Sheeran",For My Hand (feat. Ed Sheeran),Sweden,0.87,0.479,9,-7.779,1,0.165,0.161,0.000157,0.209,0.717,104.059,2.65,4
3L2N1sejA5EKPKB1JOHCsX,Hooja,POLERS,Sweden,0.824,0.598,6,-9.068,0,0.141,0.403,1.86e-05,0.295,0.776,127.986,3.22,4
2Gd0oV24QsH0zb9nKFx7s5,"Hov1, Einár",Gamora,Sweden,0.648,0.733,10,-5.359,0,0.155,0.103,0.0,0.0652,0.836,174.849,2.75,4
4q2nejfnJpmHqr2GAi09ph,"Hanna Ferm, Junie",Välkommen Åter,Sweden,0.775,0.675,0,-5.43,1,0.0734,0.133,0.0,0.151,0.907,139.968,2.93,4
5uSFGgIfHMT3osrAd9n9ym,Lewis Capaldi,Forget Me,Sweden,0.669,0.742,1,-3.518,0,0.0441,0.296,0.0,0.355,0.716,101.982,3.39,4
2yjlYDiNiQkdxVqTlaSrlX,Nicki Minaj,Super Freaky Girl,Sweden,0.951,0.878,2,-2.565,1,0.211,0.0509,1.61e-05,0.321,0.923,133.014,2.85,4
