track_id,artist_names,track_name,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,time_signature
72OVnXDzugvrCU25lMi9au,WeiBird,"如果可以 - 電影""月老""主題曲",Taiwan,0.54,0.54,3,-6.368,1,0.029,0.241,0.0,0.351,0.372,74.969,4.57,4
7mykoq6R3BArsSpNDjFQTm,"Rosa Walton, Hallie Coggins",I Really Want to Stay at Your House,Taiwan,0.49,0.738,3,-7.399,0,0.0367,0.00237,4.58e-06,0.0851,0.126,124.966,4.11,4
5zwwW9Oq7ubSxoCGyW1nbY,BLACKPINK,Pink Venom,Taiwan,0.693,0.734,4,-6.189,1,0.202,0.0145,0.0,0.217,0.708,180.06,3.12,4
7gRFDGEzF9UkBV233yv2dc,BLACKPINK,Shut Down,Taiwan,0.818,0.69,0,-5.119,1,0.0454,0.00327,0.0,0.186,0.688,110.071,2.93,3
07plVccQ0N6FTTTonk3c2M,EggPlantEgg,閣愛妳一擺,Taiwan,0.552,0.78,7,-5.106,1,0.0475,0.0473,0.0,0.152,0.557,133.921,4.63,4
6la3Kme7O7D01fJPxgpAS5,詹雯婷,訣愛 (劇集《蒼蘭訣》片頭曲),Taiwan,0.45,0.62,11,-6.492,1,0.0365,0.313,0.0,0.0672,0.169,142.026,3.15,4
6jNy9WM3zyvG9E5bdVALl8,告五人,好不容易 (《華燈初上》片尾曲),Taiwan,0.382,0.543,4,-5.938,0,0.0345,0.313,2.1e-05,0.268,0.166,173.652,4.92,4
2gYj9lubBorOPIVWsTXugG,IVE,After LIKE,Taiwan,0.68,0.922,0,-1.215,1,0.121,0.103,0.0,0.0877,0.799,125.014,2.95,4
6akVETVeqqPVvuBS5e0EB1,Eason Chan,孤勇者 - 《英雄聯盟:雙城之戰》動畫劇集中文主題曲,Taiwan,0.615,0.535,8,-6.847,0,0.032,0.63,0.0,0.0907,0.293,130.025,4.27,4
4fJlSLYLiu5trFCMZdSQDC,EggPlantEgg,愛情你比我想的閣較偉大 -《當男人戀愛時》電影主題曲,Taiwan,0.665,0.654,9,-6.948,0,0.0725,0.00249,0.00119,0.109,0.736,149.969,3.87,4
6XBL9naPxZjATbmGAWGJ9V,Ren Ran,飞鸟和蝉,Taiwan,0.578,0.508,10,-8.884,1,0.0536,0.722,0.0,0.105,0.304,147.94,4.93,4
1IVj6CsBbTgOEpo0W6hgwN,张远,嘉宾,Taiwan,0.309,0.434,9,-8.88,1,0.0363,0.672,0.0,0.0896,0.427,71.585,5.56,4
0kqTXMHiQiB7IECD0WwcPq,TWICE,Talk that Talk,Taiwan,0.774,0.905,3,-2.432,0,0.122,0.143,0.0,0.332,0.768,119.964,2.96,4
4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,Taiwan,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,2.47,4
2OR5FUKy3GQ7I9DCbRnfsW,Eric Chou,"最後一堂課 - 《媽,別鬧了!》影集片尾曲",Taiwan,0.55,0.543,8,-6.961,1,0.0268,0.769,0.0,0.0911,0.35,74.008,4.65,4
0a4MMyCrzT0En247IhqZbD,NewJeans,Hype Boy,Taiwan,0.593,0.935,4,-3.43,0,0.225,0.268,0.0,0.286,0.783,99.976,2.98,4
5PjdY0CKGZdEuoNab3yDmX,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),Taiwan,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,2.36,4
1GpbSYjurHKlxhcxCZ1Bqa,小阿七,从前说,Taiwan,0.616,0.69,4,-5.189,1,0.0338,0.671,0.0,0.368,0.446,115.966,4.19,4
2VEt42QSQxILgEf9B50xxm,理想混蛋,不是因為天氣晴朗才愛你,Taiwan,0.507,0.271,8,-13.185,1,0.0347,0.753,1.23e-06,0.0883,0.399,135.783,4.01,4
35xilew5nalcetOeytaDFj,Jay Chou,還在流浪,Taiwan,0.624,0.549,1,-7.4,1,0.0329,0.109,0.000499,0.11,0.115,165.991,4.43,3
19fp9nI0tq0lcBl7XoCHAb,告五人,唯一 (三立/台視戲劇《戀愛是科學》插曲),Taiwan,0.485,0.103,1,-13.383,1,0.0367,0.959,5.32e-05,0.107,0.21,140.595,4.51,4
0Q5VnK2DYzRyfqQRJuUtvi,IVE,LOVE DIVE,Taiwan,0.703,0.709,1,-4.169,0,0.0433,0.00379,5.43e-05,0.333,0.538,117.941,2.95,4
0mBP9X2gPCuapvpZ7TGDk3,"Charlie Puth, Jung Kook, BTS",Left and Right (Feat. Jung Kook of BTS),Taiwan,0.881,0.592,2,-4.898,1,0.0324,0.619,1.32e-05,0.0901,0.719,101.058,2.57,4
0FfNFvy5KRRyB2snvK39zL,"W.M.L, Vicky Chen",I'm Alive,Taiwan,0.636,0.862,5,-2.386,0,0.0464,0.156,0.0,0.144,0.24,137.94,2.87,4
3OC84eKMxRJ4x0Hcwl9i4i,Crowd Lu,刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲,Taiwan,0.425,0.201,10,-11.961,1,0.0373,0.873,0.0,0.111,0.267,136.328,5.34,4
4QZMBVrBLAvBryj8ZJIIY2,LBI利比,小城夏天,Taiwan,0.709,0.721,9,-5.17,1,0.0409,0.359,0.0,0.291,0.607,146.031,2.89,4
53yiHIP3ptxWtT4ambRcgb,TRASH,終究還是因為愛,Taiwan,0.552,0.8,10,-5.203,1,0.0587,0.0253,2.22e-06,0.125,0.182,126.027,4.75,4
69AvckyixY1AIGRYDZ1QnO,Power Station,Love Me True,Taiwan,0.471,0.502,2,-6.357,1,0.0295,0.285,0.0,0.108,0.201,148.009,5.22,4
4nivAUgvOrWdkv44kjAlxs,G.E.M.,天空沒有極限,Taiwan,0.539,0.742,11,-4.415,1,0.0393,0.188,0.000176,0.131,0.182,133.886,4.66,4
3CEkc8f1UDvI7kohz3ARpA,Vicky Chen,炙愛 - 女聲版,Taiwan,0.407,0.497,6,-5.828,0,0.0357,0.263,0.0,0.112,0.312,152.194,3.02,4
4U0bL1ouvksMgvXU2aKq4O,en,间距,Taiwan,0.575,0.562,6,-7.396,1,0.0289,0.45,0.0,0.101,0.334,130.056,4.73,4
7tgzj2IqzSgUpxUhjmcF5m,告五人,披星戴月的想你,Taiwan,0.692,0.453,9,-7.131,1,0.0299,0.263,0.000549,0.0836,0.351,99.976,5.83,4
2pIUpMhHL6L9Z5lnKxJJr9,NewJeans,Attention,Taiwan,0.811,0.648,10,-3.684,0,0.0368,0.236,0.0,0.0761,0.695,104.988,3.0,4
5Y47GrCrjQY44qFv8Gt0Gm,Eric Chou,你不屬於我 - 《比悲傷更悲傷的故事》影集版片尾曲,Taiwan,0.358,0.391,9,-8.979,1,0.0316,0.856,0.00232,0.0971,0.284,75.168,5.37,4
3jdy4aOla1dwYIqwp69JJN,NICKTHEREAL,愛上你算我賤,Taiwan,0.478,0.738,6,-4.464,0,0.0414,0.00432,0.0,0.154,0.353,163.994,4.18,4
0l6w3GsvjJWdZHs3eXTjuL,1K,就忘了吧,Taiwan,0.524,0.653,10,-6.011,1,0.0325,0.488,0.0,0.241,0.41,131.979,3.39,4
6FSOibqLCbhFrmGdqMbwiZ,Tanya Chua,Letting Go,Taiwan,0.536,0.702,11,-6.327,0,0.0285,0.154,1.61e-06,0.0938,0.408,136.095,4.39,4
6whxKQ0Ocn1FmzpDc7lTHq,Eric Chou,想知道你在想什麼 - 《我吃了那男孩一整年的早餐》電影主題曲,Taiwan,0.455,0.297,7,-11.63,1,0.0265,0.212,2.14e-06,0.121,0.243,90.093,4.9,4
1hM4pPeGTcH3yJImQPFrXt,LaLa Hsu,行走的魚,Taiwan,0.563,0.563,9,-6.451,1,0.0328,0.753,0.0,0.0598,0.454,116.016,4.09,4
3SJgTyb8a7z66suw0kBZ0T,艾薇,失重前幸福,Taiwan,0.647,0.473,6,-6.847,0,0.0353,0.728,0.0,0.15,0.227,129.961,3.68,4
3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),Taiwan,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,2.62,4
26vo1FuxIs0rINePq3lOx8,Jay Chou,最偉大的作品,Taiwan,0.622,0.58,7,-7.295,0,0.0595,0.501,0.00848,0.104,0.23,160.011,4.07,4
7xTDT7gyIrv0xWpwwXExxU,Ed Sheeran,Celestial,Taiwan,0.574,0.852,2,-1.248,1,0.0397,0.0529,0.0,0.161,0.501,123.038,3.48,4
0KWnRv3wxjltYVB3MqjNd2,高爾宣 OSN,Without You,Taiwan,0.669,0.698,11,-4.613,1,0.091,0.573,0.0,0.102,0.286,80.003,2.92,4
6I3mqTwhRpn34SLVafSH7G,Justin Bieber,Ghost,Taiwan,0.601,0.741,2,-5.569,1,0.0478,0.185,2.91e-05,0.415,0.441,153.96,2.55,4
6C734SmqoIYuRWo2qSCnpC,NMIXX,DICE,Taiwan,0.556,0.798,7,-3.331,1,0.254,0.0848,0.0,0.33,0.628,131.096,2.76,4
3N0srZgpRLSY2ziJ1FsJh9,"高爾宣 OSN, sunkis",Work,Taiwan,0.687,0.722,0,-6.653,1,0.0408,0.136,0.0,0.113,0.114,100.005,2.77,4
28MATCYDctW5EiBa2repxb,Ado,New Genesis,Taiwan,0.49,0.987,7,-2.279,1,0.253,0.049,3.24e-06,0.406,0.451,175.064,3.78,4
27FOde2nUw0pFuj7hlPbaS,告五人,愛人錯過,Taiwan,0.549,0.923,1,-3.857,1,0.0393,0.0295,8.76e-05,0.14,0.498,140.045,4.87,4
3NNDJfWMGHuNpvHWTImmlW,Fish Leong,慢冷,Taiwan,0.521,0.471,4,-8.247,1,0.0317,0.786,0.0,0.105,0.269,92.054,4.83,4
2bLphDJvGyfjPbmxs7V4rX,理想混蛋 雞丁,習慣不習慣,Taiwan,0.403,0.436,0,-7.85,1,0.037,0.738,0.0,0.174,0.426,129.667,5.0,4
1oen3GpTcA486fTHaT7neg,Girls' Generation,FOREVER 1,Taiwan,0.615,0.871,9,-1.248,1,0.0516,0.0427,0.0,0.254,0.297,123.915,3.38,4
4LSPhOVHew694KG2IAA6Ap,李浩瑋 Howard Lee,Crush On,Taiwan,0.475,0.522,7,-6.351,1,0.118,0.634,0.0,0.153,0.571,74.755,3.03,4
5g3SAbi3NE8YXI0Z9aDFoZ,阿冗,与我无关,Taiwan,0.612,0.374,10,-10.393,1,0.0348,0.583,0.0,0.118,0.214,123.867,4.0,4
3MJhPqL2IgGs7gHEB2M35q,BLACKPINK,Hard to Love,Taiwan,0.654,0.768,5,-5.007,1,0.0431,0.00616,0.0,0.202,0.505,104.97,2.71,4
1bQHKplf5fkkecalhAgYp0,A-Lin,摯友,Taiwan,0.315,0.445,2,-7.953,0,0.0287,0.578,0.0,0.281,0.213,138.772,5.32,4
3V2v19gDm4rmRkMwcgS4X2,颜人中,有些,Taiwan,0.685,0.535,7,-7.53,1,0.0433,0.744,0.0,0.081,0.369,125.922,3.83,4
5cU1O9P0EDA0rPkPDykhIm,Eric Chou,怎麼了,Taiwan,0.502,0.565,9,-7.779,1,0.0358,0.696,5.55e-05,0.156,0.253,139.926,5.35,4
2DwsuwDtMtZykInr8cFo1j,高爾宣 OSN,Somebody Else,Taiwan,0.779,0.503,10,-7.31,1,0.0545,0.32,0.0,0.0942,0.787,114.044,2.83,4
1Ytgo9ipdlTsf6wlg6sXf3,告五人,在這座城市遺失了你 (戲劇《他們創業的那些鳥事》插曲),Taiwan,0.46,0.297,9,-8.785,1,0.0309,0.692,0.000318,0.107,0.125,180.095,5.95,4
3tHqubDUl1OHGgGz87YreF,Sophie Chen,500天,Taiwan,0.595,0.666,10,-3.466,1,0.0337,0.388,0.0,0.13,0.516,137.985,4.0,4
