track_id,artist_names,track_name,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,time_signature
7gRFDGEzF9UkBV233yv2dc,BLACKPINK,Shut Down,Thailand,0.818,0.69,0,-5.119,1,0.0454,0.00327,0.0,0.186,0.688,110.071,2.93,3
5zwwW9Oq7ubSxoCGyW1nbY,BLACKPINK,Pink Venom,Thailand,0.693,0.734,4,-6.189,1,0.202,0.0145,0.0,0.217,0.708,180.06,3.12,4
0ZcyX8hFV1jdJNWOI8mMXF,"YEW, LANDOKMAI",Summertime,Thailand,0.562,0.325,7,-13.669,1,0.0314,0.87,2.39e-05,0.0903,0.474,131.799,4.11,3
4cxB2603ulZZjod5FwmWy1,Dept,17,Thailand,0.748,0.777,10,-4.783,1,0.043,0.0471,0.00426,0.126,0.97,121.034,3.51,4
3Ry2KPewzbt43hiQPTnDTK,THEMOONWILLALWAYSBEWITHME,ซูลูปาก้า ตาปาเฮ้,Thailand,0.578,0.569,9,-8.811,1,0.0786,0.441,0.00883,0.112,0.734,168.132,3.76,4
4Z64nGulQN49i9D03NcF8a,PROXIE,คนไม่คุย (Silent Mode),Thailand,0.783,0.642,7,-8.578,1,0.1,0.391,4.79e-06,0.115,0.682,100.022,3.84,4
6jjYDGxVJsWS0a5wlVF5vS,BTS,Butter,Thailand,0.759,0.459,8,-5.187,1,0.0948,0.00323,0.0,0.0788,0.695,109.997,2.75,4
3FUAv32u0F64kcaaLRimPr,BOWKYLION,วาดไว้ - recall,Thailand,0.535,0.509,5,-7.701,1,0.0309,0.285,0.0,0.131,0.177,144.829,4.26,4
3vfwUrq22haMmIJyyyI7Hq,YourMOOD,ลาก่อน,Thailand,0.563,0.852,11,-7.114,1,0.0319,0.0175,0.00135,0.108,0.764,135.012,3.14,4
0cCf8UpRfjOB7yp1yqzMHM,Billkin,ชอบตัวเองตอนอยู่กับเธอ,Thailand,0.57,0.603,8,-6.518,1,0.0353,0.431,0.0,0.267,0.556,131.673,3.71,4
3LzQ0QF4Ud7CyAIWdFxUHl,Ink Waruntorn,ชอบอยู่คนเดียว,Thailand,0.685,0.798,10,-6.056,0,0.0804,0.0408,0.0,0.0926,0.846,148.045,2.99,4
03Yp2uEOtPGHQ6E9XSjmyv,"Pop Pongkool, Da Endorphine",สลักจิต,Thailand,0.544,0.582,11,-6.846,1,0.0375,0.409,4.47e-06,0.342,0.359,162.075,4.41,4
60ZuPJ8kseTn6isqhyxpCi,NONT TANONT,โต๊ะริม - melt,Thailand,0.565,0.527,9,-6.997,1,0.0358,0.354,0.0,0.137,0.4,167.949,4.12,4
0L8LOav65XwLjCLS11gNPD,BLACKPINK,Typa Girl,Thailand,0.915,0.621,7,-6.519,1,0.1,0.0745,0.0,0.628,0.527,131.984,2.99,4
7AcomvHhlYUB0m9tIX4aC8,Three Man Down,ปล่อยให้เวลา,Thailand,0.387,0.905,7,-6.433,1,0.103,0.00158,6.5e-05,0.248,0.6,179.808,2.86,4
4gNkIyfaf2iwPgeLSVIj8O,Jeff Satur,ลืมไปแล้วว่าลืมยังไง (Fade),Thailand,0.569,0.455,4,-10.193,1,0.0286,0.392,1.43e-05,0.0954,0.24,108.954,4.37,4
0a4MMyCrzT0En247IhqZbD,NewJeans,Hype Boy,Thailand,0.593,0.935,4,-3.43,0,0.225,0.268,0.0,0.286,0.783,99.976,2.98,4
5m9iZ0wLgpbSBwVW62AZvf,NuNew,รักแท้ - True Love (เพลงจากละคร คุณชาย),Thailand,0.629,0.431,9,-8.673,1,0.0452,0.44,0.0,0.328,0.458,125.899,3.59,4
4iA3PrcsOt6bmoXTaDXhf3,JOEY PHUWASIT,นะหน้าทอง,Thailand,0.561,0.652,9,-7.328,1,0.0481,0.545,1.76e-06,0.102,0.363,130.236,4.82,4
3hVbL6BkM5rbRzozafghgh,KJ,good boy,Thailand,0.796,0.663,7,-8.557,0,0.0655,0.67,1.1e-06,0.158,0.892,92.989,3.35,4
27OEf7iSIOJ14txp16xweP,Dept,ลา ลา ลา,Thailand,0.394,0.719,9,-6.071,1,0.0259,0.00998,0.0,0.0528,0.24,178.005,4.23,3
1rNYuv63emsYt4Jjv8RlgJ,Mirrr,เจ้าของที่ (My Favorite),Thailand,0.631,0.822,5,-4.793,1,0.0269,0.213,0.00101,0.212,0.879,149.886,4.0,4
70DE8f3cq3auql4JMrF0Qg,"Lipta, GUYGEEGEE",ทักครับ,Thailand,0.838,0.635,1,-5.929,1,0.0398,0.136,0.0,0.0709,0.96,97.051,3.19,4
1LDG6oNPVWerLLWp2ia78I,Alyn Wee,หัวใจเจ้าเอย​ (Not Again),Thailand,0.542,0.434,8,-9.396,1,0.0403,0.468,6.06e-05,0.0885,0.473,139.87,3.97,3
0mBP9X2gPCuapvpZ7TGDk3,"Charlie Puth, Jung Kook, BTS",Left and Right (Feat. Jung Kook of BTS),Thailand,0.881,0.592,2,-4.898,1,0.0324,0.619,1.32e-05,0.0901,0.719,101.058,2.57,4
7AdGloF1UHKe1vAZPbqIXH,BLACKPINK,The Happiest Girl,Thailand,0.382,0.37,0,-8.475,1,0.0785,0.605,0.0,0.102,0.556,181.459,3.7,3
3Js0tYhiLhVXHskoOF0jLh,BOWKYLION,บานปลาย (best wishes),Thailand,0.584,0.656,6,-6.632,1,0.0413,0.568,1.19e-05,0.0791,0.547,175.718,4.83,4
0bYVPJvXr8ACmw313cVvhB,BLACKPINK,Tally,Thailand,0.688,0.637,2,-4.85,1,0.031,0.00777,0.0,0.13,0.427,129.902,3.07,4
0GJHuhvKkuAnocAGNJvNw5,"Bow Maylada, Lipta",เเฟนผมน่ารัก,Thailand,0.702,0.635,5,-6.289,0,0.113,0.307,9.01e-06,0.078,0.83,175.98,3.33,4
2MnVrkbwL6ViB7q4NI7oVK,"ZENTYARB, PUNYARB, Lazyloxy",ฉบับปรับปรุง,Thailand,0.552,0.694,11,-7.436,1,0.121,0.2,0.0,0.112,0.419,165.951,4.08,4
3cZP6wSDNl9i2PgrXo4Zk5,D Gerrard,นักวิทยาศาสตร์,Thailand,0.646,0.683,6,-5.638,1,0.125,0.82,0.0,0.0901,0.746,143.899,3.52,4
3W4U7TEgILGpq0EmquurtH,"yuji, putri dahlia",Old Love,Thailand,0.478,0.367,11,-10.513,1,0.0283,0.716,0.0,0.124,0.359,141.95,4.16,3
6YArEquYF9TDuqofFO9CY7,TheChanisara,เฮอร์ไมโอน้อง - Hermionong,Thailand,0.801,0.565,9,-5.87,0,0.0703,0.204,0.0,0.0763,0.783,97.977,3.61,4
6GDIW3Le2tM0hMWD3pvefH,Ink Waruntorn,ถ้าเธอรักใครคนหนึ่ง OST.บุพเพสันนิวาส 2,Thailand,0.229,0.46,3,-9.077,1,0.0319,0.681,0.00104,0.182,0.333,71.499,4.11,4
