track_id,artist_names,track_name,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,time_signature
5ATwkalJ9FnLp7Zcvxo1rl,"Dedublüman, Mavzer Tabancas",Belki,Turkey,0.388,0.496,1,-8.707,1,0.03,0.317,0.000182,0.153,0.34,183.965,2.72,4
5flH7FY4ledAQboO5a0XQ5,"UZI, Mavi",SENIN UGRUNA,Turkey,0.785,0.638,1,-7.081,1,0.109,0.357,0.0118,0.0982,0.348,127.058,2.03,4
7toL7Re9rApzIuIFDaLQSe,KÖFN,Bi' Tek Ben Anlarım,Turkey,0.66,0.529,7,-10.502,1,0.0762,0.0828,0.00144,0.099,0.318,96.009,3.27,4
5nH1QRipfAJ8Pd9rFu3xHh,Dedublüman,Belki - Akustik,Turkey,0.449,0.711,8,-5.851,0,0.0282,0.111,0.000148,0.0917,0.443,91.91,3.0,4
2SwQShWjZsxoGviEyaEMOX,Ezhel,Nerdesin,Turkey,0.816,0.696,8,-6.75,0,0.153,0.201,0.000643,0.13,0.81,100.004,2.94,4
2Pe8d9oClBgLkkz2N35AiN,Semicenk,Unutmak Öyle Kolay Mı Sandın,Turkey,0.719,0.643,8,-7.001,1,0.111,0.606,0.0,0.0804,0.615,91.963,2.41,4
4o4kbDP7DMVFPwAf5D5bj9,Simge,Aşkın Olayım,Turkey,0.556,0.582,5,-8.368,0,0.0414,0.23,0.0,0.327,0.561,75.976,4.2,4
7E3YAVF3A7Shm7w2p3Np1Z,"Şanışer, Ayda",Aşk Şarkısı - Live,Turkey,0.534,0.551,5,-7.275,1,0.053,0.185,1.36e-05,0.106,0.146,91.046,3.89,4
3CbxLHTkPClIGBzRDf3JGK,UZI,XXL,Turkey,0.704,0.697,10,-7.276,0,0.286,0.0676,0.00119,0.467,0.278,136.036,2.12,4
18Ies0Fsw2IwDuLoOhDlyy,Zeynep Bastık,Ara,Turkey,0.621,0.674,0,-5.777,0,0.0472,0.241,0.00182,0.116,0.304,163.917,3.0,4
65tIJClJx8fHo6YW4wVDhi,Güneş,Suçlarımdan Biri,Turkey,0.763,0.733,5,-6.534,0,0.113,0.138,0.0,0.0827,0.587,94.977,2.86,4
38QSynLcDBfbETORhSsssH,ATE,Diğer Yarım,Turkey,0.676,0.758,1,-6.92,0,0.124,0.133,0.0,0.0565,0.28,95.06,2.38,4
7dFVvPxqk4O32ra3VjfUwU,UZI,UNUTTUM,Turkey,0.699,0.701,0,-6.966,1,0.245,0.0302,3.02e-05,0.502,0.762,141.043,2.61,4
4O9hcXs1ohtbw4xnMU8wfo,Can Koç,Gökyüzünü Tutamam,Turkey,0.471,0.671,2,-9.569,0,0.16,0.0801,0.00965,0.136,0.637,176.104,3.25,4
7Hfb93mB78H7HnZobmjtzt,"Sefo, Jako",kördüğüm,Turkey,0.651,0.804,7,-5.488,0,0.248,0.275,0.0,0.104,0.311,180.207,2.77,4
4NeOAItkkLHPOw35eDdGQo,"Eftalya Yağcı, Lvbel C5",Sevmiş Gibi,Turkey,0.816,0.543,8,-9.358,0,0.093,0.207,0.00037,0.0927,0.314,110.025,2.5,4
55Tf67DiltMLjOY6A25s3J,"ALIZADE, BEGE",Kalbin bana kaldı,Turkey,0.772,0.62,1,-8.529,0,0.0351,0.0724,0.00429,0.174,0.49,95.017,2.4,4
3fznN0fNZAuTSu8f0vDO7E,Lvbel C5,MOVIE,Turkey,0.829,0.577,1,-10.666,1,0.441,0.101,0.00286,0.477,0.876,139.939,2.59,4
13THdxqHT11aSk3G8nUDzZ,Mavi Gri,Altüst Olmuşum,Turkey,0.479,0.527,9,-11.482,0,0.0271,0.247,4.32e-06,0.243,0.245,82.933,3.37,4
0XNX9BCSWvEwsdBwUTRhMh,Emir Can İğrek,Kor,Turkey,0.655,0.472,0,-10.506,0,0.0422,0.408,0.00022,0.285,0.362,92.995,2.98,4
10n66m41IGjA2ZulKPK7Ew,Madrigal,Seni Dert Etmeler,Turkey,0.552,0.608,5,-11.211,0,0.0274,0.148,2.05e-05,0.332,0.835,88.002,3.14,4
0r6tglSiN3TZTyRMvMCR5B,Madrigal,Dip,Turkey,0.544,0.809,7,-10.232,0,0.032,0.485,0.791,0.0988,0.549,85.025,3.73,4
1x3Ow6I8AbWQyWHXFm5HzP,ALIZADE,ANORMAL,Turkey,0.896,0.752,1,-6.197,1,0.157,0.00542,2.2e-06,0.0432,0.692,98.965,1.9,4
