track_id,artist_names,track_name,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,time_signature
3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),Ukraine,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,2.62,4
2uNrriUaePhbbmsXT8HQJU,INSTASAMKA,POPSTAR,Ukraine,0.808,0.688,7,-8.964,0,0.0493,0.115,0.0251,0.114,0.377,120.039,2.3,4
4Yzlz45QgjUKZmN2KrK4AP,Skofka,Чути гімн,Ukraine,0.826,0.4,9,-12.597,0,0.316,0.439,0.0,0.348,0.422,120.047,2.47,4
6qyS9qBy0mEk3qYaH8mPss,Kordhell,Murder In My Mind,Ukraine,0.712,0.972,10,-0.514,1,0.112,0.00547,7.06e-05,0.128,0.568,119.966,2.42,4
4oHEJ5KPf9hW1pDyQYIRIw,"Aarne, BUSHIDO ZHO, ANIKV",Тесно,Ukraine,0.931,0.696,7,-6.656,1,0.187,0.336,2.49e-05,0.339,0.357,134.005,2.21,4
21LIoC4ZxT3F8xq9gidNbX,xxxmanera,Never Broke Again,Ukraine,0.643,0.573,1,-6.992,1,0.0466,0.0126,0.0,0.201,0.7,139.94,1.8,4
5Sk39LuvdwuvL84jD01Dum,"MUPP, Sadfriendd",vendetta!,Ukraine,0.706,0.91,1,-3.527,1,0.146,0.175,2e-06,0.11,0.667,126.007,1.78,4
7kKTYTHULdERuHGCkVyLVD,"KALUSH, Skofka",Додому (feat. Skofka),Ukraine,0.859,0.548,5,-7.831,0,0.0432,0.455,8.03e-05,0.0967,0.647,119.985,3.6,4
3pzr7iKQpV9QjLGcLcd2ic,"uglystephan, Scally Milano",Заберу,Ukraine,0.764,0.7,2,-4.462,0,0.117,0.113,0.0,0.133,0.273,145.011,2.04,4
24s8SuDR01re1GxkELG7d0,ENLEO,інша любов,Ukraine,0.404,0.558,4,-9.497,0,0.05,0.294,0.0,0.325,0.12,120.101,4.13,4
54ipXppHLA8U4yqpOFTUhr,Imagine Dragons,Bones,Ukraine,0.772,0.75,5,-3.67,0,0.0455,0.0201,0.0,0.074,0.587,114.061,2.75,4
6NFRX7D4Dnh1dRUPstj3ij,"Канги, Galust",Голова,Ukraine,0.715,0.761,6,-7.463,0,0.0286,0.0252,0.000983,0.0846,0.548,112.023,2.93,4
0wGbyS1tExQSwOYu6UceyE,"ONIMXRU, SMITHMANE",SHADOW,Ukraine,0.721,0.692,7,-2.927,1,0.0414,0.000166,0.275,0.104,0.531,120.005,2.7,4
2ksyzVfU0WJoBpu8otr4pz,INTERWORLD,METAMORPHOSIS,Ukraine,0.593,0.641,7,-12.727,0,0.0992,0.426,0.901,0.122,0.147,175.014,2.38,4
2WzAAerBvZvvFXgUpSwHZ9,"PLAYAMANE, Nateki",MIDNIGHT,Ukraine,0.633,0.433,1,-8.833,1,0.229,0.0053,0.28,0.145,0.373,122.088,2.03,4
7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,Ukraine,0.442,0.538,4,-8.55,0,0.0451,0.717,2.95e-05,0.09,0.139,122.758,4.07,4
3EkGH0yreaWUFAXBil8rmH,"KALUSH, Skofka",Файна (feat. Skofka),Ukraine,0.958,0.495,5,-6.476,0,0.0673,0.0299,0.0,0.11,0.545,111.994,2.61,4
5ZNmRNEc0i3o8sP9NKqsvQ,jockii druce,боі стули пельку,Ukraine,0.83,0.607,0,-13.236,1,0.337,0.439,0.00226,0.237,0.436,123.974,1.32,4
01kfSdF9zfcDLri5sSWEoL,Dxrk ダーク,RAVE,Ukraine,0.716,0.748,8,-6.06,1,0.0356,0.235,0.849,0.114,0.338,119.918,2.82,4
2vHzOWRKYPLu8umRPIFuOq,KALUSH,Stefania (Kalush Orchestra),Ukraine,0.832,0.817,2,-5.182,1,0.0422,0.145,0.00169,0.115,0.324,104.985,2.99,4
0EPK3XVvgbe8q0KrS7nEiY,АДЛИН,Dead Inside,Ukraine,0.895,0.676,2,-7.575,1,0.0853,0.0665,0.222,0.0878,0.418,126.993,2.08,4
2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,Ukraine,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4.01,4
0zCgWGmDF0aih5qexATyBn,Mr.Kitty,After Dark,Ukraine,0.579,0.601,8,-10.492,1,0.0322,0.0673,0.414,0.0778,0.0392,140.019,4.29,4
3MqaB8TndvgRZ1QSQXH7J7,SHUMEI,Біля тополі,Ukraine,0.648,0.489,0,-4.161,0,0.0301,0.712,0.0,0.145,0.464,124.043,3.49,4
7mykoq6R3BArsSpNDjFQTm,"Rosa Walton, Hallie Coggins",I Really Want to Stay at Your House,Ukraine,0.49,0.738,3,-7.399,0,0.0367,0.00237,4.58e-06,0.0851,0.126,124.966,4.11,4
6BfnNid8w0UyZqzR2mx1HB,"Молодой Платон, Poshlaya Molly, Yanix","DON'T PLAY, BAE",Ukraine,0.843,0.774,10,-3.998,0,0.0612,0.00813,0.0,0.0668,0.391,101.982,3.03,4
5mGns7qagKDzP4L2YC5ea2,"Chico, Qatoshi",Допоможе ЗСУ,Ukraine,0.94,0.79,7,-5.661,1,0.27,0.24,0.00399,0.241,0.387,125.011,2.29,4
0iUrxveyNUBfj0cqjYEijt,MoonDeity,NEON BLADE,Ukraine,0.548,0.996,7,-2.169,1,0.112,0.0284,0.92,0.595,0.893,94.999,4.42,4
489WGIBYPf4nallnJOHpK6,"Chico, Qatoshi",Ластівки,Ukraine,0.828,0.824,9,-6.875,0,0.419,0.118,1.81e-05,0.26,0.527,122.958,2.93,4
3Hff4mCaUFKzrq05w78tEn,Clonnex,Ya Lyublyu,Ukraine,0.504,0.6,1,-7.244,1,0.0796,0.000106,0.0425,0.126,0.447,140.86,2.07,4
64Qnw6jO2dnkjV9una5peq,"100лиця, SKYLERR",Вечорниці - Добрий день Everybody,Ukraine,0.786,0.744,1,-6.611,0,0.232,0.0186,0.0,0.0609,0.336,99.021,2.9,4
2DHX9faMGUQQTwD1Ot4ch2,INSTASAMKA,MONEYKEN LOVE,Ukraine,0.801,0.644,1,-7.37,1,0.118,0.0152,0.0644,0.123,0.261,100.025,2.28,4
4MQmxIxM5CXKjdq4IrCWhd,SadSvit,Касета,Ukraine,0.654,0.743,10,-7.19,0,0.0315,0.294,0.0495,0.109,0.632,169.98,2.4,4
20SSuP71R4A88qHQu4BKY6,KOLA,Біля серця,Ukraine,0.772,0.536,6,-5.586,0,0.0938,0.577,0.000381,0.11,0.598,79.962,2.27,4
6keRNvHKCOhmySQa1jCX8P,"KALUSH, Tember Blanche",Калуські вечорниці (feat. Tember Blanche),Ukraine,0.836,0.721,7,-6.449,0,0.124,0.0796,0.000685,0.121,0.474,119.946,3.01,4
7g9brrz6mR8dm1kwYFwnRx,"YARMAK, ALISA",ДИКЕ ПОЛЕ,Ukraine,0.66,0.62,2,-9.811,1,0.0731,0.092,0.0,0.0855,0.127,82.54,3.44,4
6KvQKU21c1ZGEoOajKfim0,Skofka,Не забудем і не пробачим,Ukraine,0.805,0.402,8,-9.308,0,0.311,0.347,0.0,0.0718,0.543,77.019,3.37,4
4jvw60Iw8LpSRJwy1sOmoB,Шайни,Yeyo!,Ukraine,0.716,0.8,9,-9.417,1,0.0618,0.0988,0.0,0.116,0.436,138.01,1.86,4
4ikCWgaaGLKgb724CUNnqZ,Кореш,глаза не врут,Ukraine,0.841,0.452,1,-8.04,0,0.159,0.873,5.7e-05,0.0979,0.392,119.982,1.84,4
4LVrOvwpUuJFP2JsIGTptg,KOLA,Чи разом,Ukraine,0.678,0.616,1,-5.356,0,0.0926,0.38,0.0,0.353,0.228,122.99,2.64,4
4rirIXfDRE3G9buCYVuk2V,ScurtDae,Back to Life (Birthdae),Ukraine,0.544,0.585,0,-8.661,0,0.0505,0.61,2.39e-06,0.198,0.718,185.961,2.62,4
2kWuVqpxPnj131Z53vxF98,"alyona alyona, Jerry Heil, ela.",KUPALA,Ukraine,0.698,0.813,5,-5.947,0,0.124,0.199,0.0,0.316,0.528,109.964,2.81,4
5BvKkMNYoZYYeTGVFhjlRv,Jerry Heil,Кохайтеся Чорнобриві,Ukraine,0.773,0.717,2,-6.662,1,0.225,0.0119,3.5e-06,0.324,0.783,158.056,2.0,4
0fLampmh4qsOLGitXM171a,PLOHOYPAREN,Таблетка,Ukraine,0.771,0.719,0,-7.33,1,0.169,0.279,4.86e-06,0.125,0.367,77.493,1.5,4
5IgjP7X4th6nMNDh4akUHb,Chris Brown,Under The Influence,Ukraine,0.733,0.69,9,-5.529,0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,3.08,4
