track_id,artist_names,track_name,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,time_signature
3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),United Kingdom,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,2.62,4
4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",I'm Good (Blue),United Kingdom,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,2.92,4
5uSFGgIfHMT3osrAd9n9ym,Lewis Capaldi,Forget Me,United Kingdom,0.669,0.742,1,-3.518,0,0.0441,0.296,0.0,0.355,0.716,101.982,3.39,4
4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,United Kingdom,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,2.47,4
39JofJHEtg8I4fSyo7Imft,"Eliza Rose, Interplanetary Criminal",B.O.T.A. (Baddest Of Them All) - Edit,United Kingdom,0.736,0.906,0,-7.589,1,0.048,0.164,0.585,0.106,0.698,137.001,3.78,4
4k6Uh1HXdhtusDW5y8Gbvy,Steve Lacy,Bad Habit,United Kingdom,0.686,0.494,1,-7.093,1,0.0355,0.613,5.8e-05,0.402,0.7,168.946,3.87,4
2yjlYDiNiQkdxVqTlaSrlX,Nicki Minaj,Super Freaky Girl,United Kingdom,0.951,0.878,2,-2.565,1,0.211,0.0509,1.61e-05,0.321,0.923,133.014,2.85,4
5IgjP7X4th6nMNDh4akUHb,Chris Brown,Under The Influence,United Kingdom,0.733,0.69,9,-5.529,0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,3.08,4
4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,United Kingdom,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,2.79,4
1xzi1Jcr7mEi9K2RfzLOqS,Beyoncé,CUFF IT,United Kingdom,0.78,0.689,7,-5.668,1,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,3.76,4
40SBS57su9xLiE1WqkXOVr,LF SYSTEM,Afraid To Feel,United Kingdom,0.578,0.912,1,-3.929,1,0.114,0.0166,0.00362,0.273,0.68,127.87,2.96,4
3LtpKP5abr2qqjunvjlX5i,Central Cee,Doja,United Kingdom,0.911,0.573,6,-7.43,1,0.288,0.38,0.0,0.403,0.972,140.04,1.62,4
1LIvdWNdKmHvU0FJvw2diN,"Luude, Mattafix",Big City Life,United Kingdom,0.615,0.902,3,-4.316,1,0.0859,0.0176,3.91e-05,0.103,0.298,87.03,2.45,4
5YbPxJwPfrj7uswNwoF1pJ,Burna Boy,Last Last,United Kingdom,0.795,0.565,3,-4.457,0,0.0948,0.131,0.0,0.0802,0.55,87.925,2.87,4
4zN21mbAuaD0WqtmaTZZeP,"James Hype, Miggy Dela Rosa",Ferrari,United Kingdom,0.847,0.69,1,-7.877,0,0.0493,0.0127,6e-05,0.0526,0.692,125.004,3.11,4
1eprzC29mwUQqcVj0eILdx,"Anne-Marie, Aitch",PSYCHO,United Kingdom,0.62,0.681,9,-4.915,1,0.356,0.0138,0.0,0.0248,0.741,160.743,2.71,4
58ge6dfP91o9oXMzq3XkIS,Arctic Monkeys,505,United Kingdom,0.52,0.852,0,-5.866,1,0.0543,0.00237,5.79e-05,0.0733,0.234,140.267,4.23,4
75FEaRjZTKLhTrFGsfMUXR,Kate Bush,Running Up That Hill (A Deal With God) - 2018 Remaster,United Kingdom,0.629,0.547,10,-13.123,0,0.055,0.72,0.00314,0.0604,0.197,108.375,4.98,4
7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,United Kingdom,0.442,0.538,4,-8.55,0,0.0451,0.717,2.95e-05,0.09,0.139,122.758,4.07,4
3PXmiB8Htr95ccAdKyIsyR,"KSI, Tom Grennan",Not Over Yet (feat. Tom Grennan),United Kingdom,0.501,0.775,9,-2.993,1,0.052,0.542,0.0,0.394,0.557,174.009,2.59,4
2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,United Kingdom,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4.01,4
7a8GawTVgHZvBLQOh46he7,Arctic Monkeys,I Wanna Be Yours,United Kingdom,0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,3.07,4
1qEmFfgcLObUfQm0j1W2CK,Harry Styles,Late Night Talking,United Kingdom,0.714,0.728,10,-4.595,1,0.0468,0.298,0.0,0.106,0.901,114.996,2.97,4
3rq5w4bQGigXOfdN30ATJt,Arctic Monkeys,Do I Wanna Know?,United Kingdom,0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,4.54,4
02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,United Kingdom,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,3.98,4
5TJEBoTCDbJXiKMdCN9pd3,"Elton John, Britney Spears",Hold Me Closer,United Kingdom,0.659,0.772,0,-4.595,1,0.11,0.0748,0.000346,0.187,0.484,126.018,3.37,4
13Irp51zj01BZu2XtDrnAg,Lizzo,2 Be Loved (Am I Ready),United Kingdom,0.721,0.769,7,-4.111,1,0.105,0.0922,0.0,0.0817,0.915,155.932,3.12,4
5pyoxDZ1PX0KxBxiRVxA4U,Beyoncé,BREAK MY SOUL,United Kingdom,0.693,0.887,1,-5.039,0,0.0795,0.0581,2.71e-06,0.27,0.864,114.942,4.64,4
