track_id,artist_names,track_name,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,time_signature
6jjYDGxVJsWS0a5wlVF5vS,BTS,Butter,Vietnam,0.759,0.459,8,-5.187,1,0.0948,0.00323,0.0,0.0788,0.695,109.997,2.75,4
5hkAuvgkOrd4KpDOlCNsvW,"MONO, Onionn",Waiting For You,Vietnam,0.677,0.727,9,-5.304,0,0.0328,0.119,0.0,0.117,0.457,149.986,4.43,4
5yrPkBvOBvqfSjDhoRzDlO,RPT MCK,Tại Vì Sao,Vietnam,0.75,0.725,7,-7.294,0,0.0986,0.0739,0.0,0.0699,0.553,135.036,3.39,4
7gRFDGEzF9UkBV233yv2dc,BLACKPINK,Shut Down,Vietnam,0.818,0.69,0,-5.119,1,0.0454,0.00327,0.0,0.186,0.688,110.071,2.93,3
4CUvVaAYuXtvYURLFz7EIL,"Emcee L (Da LAB), Muộii",Chuyện Đôi Ta (feat. Muộii),Vietnam,0.517,0.467,0,-7.222,1,0.0442,0.724,0.0,0.0908,0.453,199.815,3.47,3
6VXVYATpQXEIoZ97NnWCmn,"Madihu, Vũ.",Vì Anh Đâu Có Biết,Vietnam,0.775,0.358,9,-6.473,0,0.0527,0.861,0.0,0.415,0.524,139.982,4.03,4
25h0TqC9H3BcMA7KjK5nHK,"GREY D, tlinh",vaicaunoicokhiennguoithaydoi,Vietnam,0.56,0.42,7,-10.729,1,0.257,0.882,0.000605,0.11,0.585,173.695,3.76,4
6A1IbMKwjvXibcrU1sdqKH,"MONO, Onionn",Em Là,Vietnam,0.638,0.703,5,-6.413,0,0.108,0.213,0.000985,0.0927,0.289,180.008,3.29,4
5aucVLKiumD89mxVCB4zvS,"Crush, j-hope",Rush Hour (Feat. j-hope of BTS),Vietnam,0.738,0.714,0,-5.235,1,0.249,0.157,0.0,0.31,0.74,95.035,2.96,4
0Cy7uOfTjJrmHkNEPBBZxf,Tăng Duy Tân,Bên Trên Tầng Lầu,Vietnam,0.885,0.654,6,-8.959,1,0.109,0.729,0.0344,0.146,0.616,120.048,3.07,4
5zwwW9Oq7ubSxoCGyW1nbY,BLACKPINK,Pink Venom,Vietnam,0.693,0.734,4,-6.189,1,0.202,0.0145,0.0,0.217,0.708,180.06,3.12,4
2pYFHEy0xp48Le5Bfw5vcX,"Karik, Only C",Có Chơi Có Chịu,Vietnam,0.824,0.779,7,-6.657,0,0.0509,0.464,0.0,0.119,0.816,103.989,3.73,4
0L8LOav65XwLjCLS11gNPD,BLACKPINK,Typa Girl,Vietnam,0.915,0.621,7,-6.519,1,0.1,0.0745,0.0,0.628,0.527,131.984,2.99,4
3wn8HJNjkY4wzTBy35ZvQ6,"14 Casper, Bon Nghiêm",bao tiền một mớ bình yên?,Vietnam,0.429,0.364,7,-10.006,1,0.0547,0.455,0.0,0.0907,0.0857,173.63,5.0,3
3wUp8eCTshIrJcYbjWaoyP,Phuong Ly,ThichThich,Vietnam,0.898,0.467,0,-7.238,1,0.0816,0.563,0.0,0.0994,0.619,124.072,4.03,4
4ih9noxBfg7euMjCPO0qNH,"RPT MCK, Trung Trần",Chìm Sâu,Vietnam,0.68,0.545,11,-7.026,0,0.116,0.537,0.0,0.121,0.363,204.141,2.6,3
0mBP9X2gPCuapvpZ7TGDk3,"Charlie Puth, Jung Kook, BTS",Left and Right (Feat. Jung Kook of BTS),Vietnam,0.881,0.592,2,-4.898,1,0.0324,0.619,1.32e-05,0.0901,0.719,101.058,2.57,4
2gzhQaCTeNgxpeB2TPllyY,"Jimin, HA SUNG WOON",With you,Vietnam,0.532,0.426,3,-6.117,1,0.0288,0.639,0.0,0.134,0.137,149.898,3.37,3
7eDrdQ7PK9Xm1CZCKWsgmH,"Vũ., TRANG",Anh Nhớ Ra (feat. TRANG),Vietnam,0.559,0.465,10,-6.219,1,0.0241,0.524,1.07e-06,0.12,0.324,79.961,4.61,4
